entry_time,exit_time,side,entry_price,exit_price,bars,pnl
2020-01-26 16:00:00+00:00,2020-02-02 04:00:00+00:00,long,8565.04,9379.19,39,786.0620244717611
2020-02-02 12:00:00+00:00,2020-02-02 20:00:00+00:00,long,9457.85,9338.2,2,-137.18404001965064
2020-02-03 00:00:00+00:00,2020-02-03 16:00:00+00:00,long,9396.06,9331.11,4,0.19959843876677041
2020-02-06 16:00:00+00:00,2020-02-10 04:00:00+00:00,long,9755.26,9985.67,21,-87.30282990497835
2020-02-11 12:00:00+00:00,2020-02-15 12:00:00+00:00,long,10204.39,9982.18,24,-183.4987207093909
2020-02-18 20:00:00+00:00,2020-02-19 20:00:00+00:00,long,10174.32,9593.65,6,-323.29237604943046
2020-02-23 08:00:00+00:00,2020-02-24 00:00:00+00:00,long,9842.16,9759.23,4,-74.82977697189926
2020-04-03 20:00:00+00:00,2020-04-10 00:00:00+00:00,long,6729.8,7172.94,37,529.6263651787558
2020-04-12 12:00:00+00:00,2020-04-13 00:00:00+00:00,long,7014.12,6671.0,3,-192.62530701447577
2020-04-22 12:00:00+00:00,2020-05-04 04:00:00+00:00,long,7105.69,8653.3,70,4344.116523894143
2020-05-04 12:00:00+00:00,2020-05-10 00:00:00+00:00,long,8848.0,8621.65,33,1127.240610602783
2020-05-13 20:00:00+00:00,2020-05-15 20:00:00+00:00,long,9305.91,9310.73,12,2.187225243456851
2020-05-16 04:00:00+00:00,2020-05-16 08:00:00+00:00,long,9385.86,9410.0,1,7.561417161979989
2020-05-28 20:00:00+00:00,2020-06-02 12:00:00+00:00,long,9569.59,9467.9,28,366.73633977407917
2020-06-03 20:00:00+00:00,2020-06-04 04:00:00+00:00,long,9663.59,9644.81,2,-15.691157523113361
2020-06-11 16:00:00+00:00,2020-06-13 04:00:00+00:00,long,9280.99,9431.93,9,15.771846594778253
2020-06-23 12:00:00+00:00,2020-06-24 08:00:00+00:00,long,9695.89,9337.26,5,-1013.532133085806
2020-07-22 00:00:00+00:00,2020-08-02 04:00:00+00:00,long,9358.72,11327.7,67,7744.748615420562
2020-08-05 12:00:00+00:00,2020-08-06 20:00:00+00:00,long,11672.0,11770.56,8,99.57425994630103
2020-08-15 00:00:00+00:00,2020-08-15 12:00:00+00:00,long,11900.97,11858.01,3,-185.3044858047324
2020-08-15 20:00:00+00:00,2020-08-16 00:00:00+00:00,long,11859.04,11942.2,1,266.51003010072964
2020-08-24 08:00:00+00:00,2020-08-24 12:00:00+00:00,long,11799.0,11768.0,1,-46.440678446862876
2020-09-30 00:00:00+00:00,2020-09-30 04:00:00+00:00,long,10739.49,10700.95,1,-60.77104332890303
2020-10-10 00:00:00+00:00,2020-10-16 04:00:00+00:00,long,11413.28,11309.01,37,-1151.782069309389
2020-10-19 16:00:00+00:00,2020-10-26 16:00:00+00:00,long,11687.69,12997.57,42,7257.730546111616
2020-10-26 20:00:00+00:00,2020-10-28 12:00:00+00:00,long,13047.24,13208.65,10,-312.47802280417454
2020-10-29 12:00:00+00:00,2020-11-02 08:00:00+00:00,long,13429.04,13406.01,23,-915.7165788126003
2020-11-03 12:00:00+00:00,2020-11-07 16:00:00+00:00,long,13701.33,14654.74,25,437.90776534063843
2020-11-08 12:00:00+00:00,2020-11-10 20:00:00+00:00,long,15349.33,15294.68,14,-1428.7552428218005
2020-11-12 20:00:00+00:00,2020-11-14 08:00:00+00:00,long,16289.02,15916.92,9,-525.1944059369671
2020-11-15 08:00:00+00:00,2020-11-15 12:00:00+00:00,long,15950.0,16022.0,1,40.6401961951633
2020-11-17 12:00:00+00:00,2020-11-22 08:00:00+00:00,long,17322.38,17925.2,29,2281.4374584168254
2020-11-22 16:00:00+00:00,2020-11-23 00:00:00+00:00,long,18607.72,18390.41,2,-42.3572117586009
2020-11-24 08:00:00+00:00,2020-11-25 04:00:00+00:00,long,19089.69,18991.05,5,-92.71086518898665
2020-11-29 08:00:00+00:00,2020-12-01 12:00:00+00:00,long,18086.25,19276.01,13,1647.836795913121
2020-12-02 08:00:00+00:00,2020-12-02 12:00:00+00:00,long,19130.01,18898.97,1,-371.93669074861464
2020-12-12 16:00:00+00:00,2020-12-21 08:00:00+00:00,long,18796.0,22663.0,52,13837.979479337144
2020-12-22 20:00:00+00:00,2020-12-23 08:00:00+00:00,long,23826.99,23080.0,3,-376.94666082705953
2020-12-23 12:00:00+00:00,2020-12-23 20:00:00+00:00,long,23471.08,23238.27,2,-113.78877843938244
2020-12-24 20:00:00+00:00,2020-12-25 00:00:00+00:00,long,23737.44,23492.62,1,-130.8371292132215
2020-12-26 16:00:00+00:00,2021-01-04 08:00:00+00:00,long,25944.43,30760.39,52,11745.149855669457
2021-01-05 16:00:00+00:00,2021-01-10 16:00:00+00:00,long,33747.0,37531.91,30,1700.700170042568
2021-01-14 00:00:00+00:00,2021-01-15 04:00:00+00:00,long,37103.0,38510.21,7,-73.45082350312441
2021-02-04 08:00:00+00:00,2021-02-15 00:00:00+00:00,long,37361.16,47165.18,64,1712.8364796931273
2021-02-15 16:00:00+00:00,2021-02-15 20:00:00+00:00,long,48722.66,47981.58,1,-80.72918395369925
2021-02-17 16:00:00+00:00,2021-02-22 08:00:00+00:00,long,52250.27,54606.16,28,1076.4825662462754
2021-03-03 04:00:00+00:00,2021-03-05 00:00:00+00:00,long,49769.54,47300.23,11,-1691.51774368927
2021-03-09 16:00:00+00:00,2021-03-15 08:00:00+00:00,long,54143.1,56182.03,34,1142.118946592731
2021-03-17 16:00:00+00:00,2021-03-21 04:00:00+00:00,long,57897.1,57011.46,21,-462.6525164117629
2021-03-30 20:00:00+00:00,2021-04-02 16:00:00+00:00,long,58794.16,58944.81,17,-143.35599942324188
2021-04-13 12:00:00+00:00,2021-04-16 04:00:00+00:00,long,63420.34,61513.57,16,-591.4021307151706
2021-05-02 08:00:00+00:00,2021-05-04 00:00:00+00:00,long,57158.17,55519.15,10,-292.25296885282296
2021-05-05 12:00:00+00:00,2021-05-06 00:00:00+00:00,long,57596.1,56869.89,3,-222.07908305738965
2021-05-06 08:00:00+00:00,2021-05-06 12:00:00+00:00,long,58081.3,57173.49,1,-378.7260170382797
2021-05-12 20:00:00+00:00,2021-05-13 00:00:00+00:00,long,49595.76,50477.14,1,26.15296723897336
2021-06-15 12:00:00+00:00,2021-06-17 16:00:00+00:00,long,40056.8,37682.27,13,-1962.8881919885025
2021-07-25 08:00:00+00:00,2021-08-02 12:00:00+00:00,long,34366.63,39678.0,49,7729.471880830992
2021-08-04 12:00:00+00:00,2021-08-05 04:00:00+00:00,long,39289.96,38889.08,4,-775.3955043136448
2021-08-05 16:00:00+00:00,2021-08-05 20:00:00+00:00,long,40694.19,40882.4,1,275.35044038564956
2021-08-08 08:00:00+00:00,2021-08-12 04:00:00+00:00,long,44458.35,45230.0,23,693.7424014703065
2021-08-13 04:00:00+00:00,2021-08-15 04:00:00+00:00,long,46108.85,45788.25,12,-652.9112783527889
2021-08-21 00:00:00+00:00,2021-08-24 12:00:00+00:00,long,48872.26,48370.25,21,-1653.1623305121975
2021-08-25 20:00:00+00:00,2021-08-26 00:00:00+00:00,long,48992.65,47945.44,1,-518.7409768725047
2021-08-27 20:00:00+00:00,2021-08-28 12:00:00+00:00,long,49083.98,48840.0,4,-130.29097863813513
2021-09-18 12:00:00+00:00,2021-09-19 08:00:00+00:00,long,48420.21,47344.16,5,-1510.5653727963218
2021-10-02 12:00:00+00:00,2021-10-12 16:00:00+00:00,long,47812.24,55369.15,61,13539.922645132683
2021-10-13 20:00:00+00:00,2021-10-18 12:00:00+00:00,long,57393.65,62021.07,28,3687.3841293820005
2021-10-19 00:00:00+00:00,2021-10-21 20:00:00+00:00,long,62634.99,62260.33,17,1135.4926528257784
2021-10-22 00:00:00+00:00,2021-10-22 08:00:00+00:00,long,63279.94,63420.67,2,-33.83132150216261
2021-10-25 08:00:00+00:00,2021-10-26 04:00:00+00:00,long,62800.0,62495.28,5,-158.71421243467194
2021-11-07 16:00:00+00:00,2021-11-10 20:00:00+00:00,long,62304.66,64920.13,19,4774.308738973516
2021-11-14 00:00:00+00:00,2021-11-14 08:00:00+00:00,long,64688.44,64479.06,2,-121.3089316819387
2021-12-04 00:00:00+00:00,2021-12-04 04:00:00+00:00,long,52003.89,47241.93,1,-256.85400847326673
2021-12-26 20:00:00+00:00,2021-12-28 00:00:00+00:00,long,50765.73,49826.48,7,-2805.312624809376
2022-01-06 00:00:00+00:00,2022-01-06 16:00:00+00:00,long,42817.38,43409.03,4,41.10339105484309
2022-02-05 20:00:00+00:00,2022-02-11 00:00:00+00:00,long,41374.69,43310.87,31,7592.536839451161
2022-02-11 12:00:00+00:00,2022-02-11 16:00:00+00:00,long,43648.87,42725.35,1,-575.2940682589251
