entry_time,side,equity_before,exit_time,pnl,exit_reason
2020-01-25 04:00:00+00:00,short,10000.0,2020-01-25 16:00:00+00:00,-6.086102805020346,signal
2020-01-26 20:00:00+00:00,long,9993.91389719498,2020-02-02 08:00:00+00:00,784.0742686712292,signal
2020-02-02 16:00:00+00:00,long,10777.988165866209,2020-02-03 00:00:00+00:00,-139.66127281497938,signal
2020-02-03 04:00:00+00:00,long,10638.32689305123,2020-02-03 20:00:00+00:00,-0.5472590789941023,signal
2020-02-06 20:00:00+00:00,long,10637.779633972235,2020-02-10 08:00:00+00:00,-82.62644712371002,signal
2020-02-11 16:00:00+00:00,long,10555.153186848525,2020-02-15 16:00:00+00:00,-197.44510301310038,signal
2020-02-17 12:00:00+00:00,short,10357.708083835425,2020-02-18 00:00:00+00:00,-8.482388322216138,signal
2020-02-19 00:00:00+00:00,long,10349.225695513209,2020-02-20 00:00:00+00:00,-321.2388939513912,signal
2020-02-20 00:00:00+00:00,short,10027.986801561818,2020-02-21 12:00:00+00:00,-2.130875968372493,signal
2020-02-22 00:00:00+00:00,short,10025.855925593445,2020-02-23 04:00:00+00:00,-12.114707998125596,signal
2020-02-23 12:00:00+00:00,long,10013.74121759532,2020-02-24 04:00:00+00:00,-76.03320270760014,signal
2020-02-25 04:00:00+00:00,short,9937.70801488772,2020-02-25 08:00:00+00:00,5.844404451801893,signal
2020-02-25 20:00:00+00:00,short,9943.552419339521,2020-03-03 00:00:00+00:00,63.553701735001596,signal
2020-03-08 04:00:00+00:00,short,10007.106121074523,2020-03-08 12:00:00+00:00,0.22633067952665442,signal
2020-03-08 16:00:00+00:00,short,10007.33245175405,2020-03-17 00:00:00+00:00,85.62921585084223,signal
2020-03-17 08:00:00+00:00,short,10092.961667604892,2020-03-17 16:00:00+00:00,-0.23434421696401841,signal
2020-03-17 20:00:00+00:00,short,10092.727323387928,2020-03-18 16:00:00+00:00,2.2784514046306867,signal
2020-03-18 20:00:00+00:00,short,10095.005774792558,2020-03-19 00:00:00+00:00,-3.5654276125478646,signal
2020-04-04 00:00:00+00:00,long,10091.44034718001,2020-04-10 04:00:00+00:00,533.9196839034666,signal
2020-04-10 16:00:00+00:00,short,10625.360031083477,2020-04-10 20:00:00+00:00,-16.024832172854076,signal
2020-04-11 20:00:00+00:00,short,10609.335198910623,2020-04-12 00:00:00+00:00,-10.463245007791556,signal
2020-04-12 04:00:00+00:00,short,10598.871953902832,2020-04-12 12:00:00+00:00,-6.045820672921764,signal
2020-04-12 16:00:00+00:00,long,10592.82613322991,2020-04-13 04:00:00+00:00,-196.1147654967608,signal
2020-04-13 04:00:00+00:00,short,10396.711367733149,2020-04-14 00:00:00+00:00,-11.639260930911405,signal
2020-04-14 08:00:00+00:00,short,10385.072106802238,2020-04-14 16:00:00+00:00,-12.026035740618681,signal
2020-04-22 04:00:00+00:00,short,10373.046071061619,2020-04-22 08:00:00+00:00,-12.602754289182485,signal
2020-04-22 16:00:00+00:00,long,10360.443316772436,2020-05-04 08:00:00+00:00,4067.462649116569,signal
2020-05-04 16:00:00+00:00,long,14427.905965889006,2020-05-10 04:00:00+00:00,1107.449701419604,signal
2020-05-10 20:00:00+00:00,short,15535.35566730861,2020-05-11 00:00:00+00:00,-5.321843572119178,signal
2020-05-12 00:00:00+00:00,short,15530.03382373649,2020-05-12 04:00:00+00:00,-3.3743217599603668,signal
2020-05-14 00:00:00+00:00,long,15526.65950197653,2020-05-16 00:00:00+00:00,-4.105758053836325,signal
2020-05-16 08:00:00+00:00,long,15522.553743922694,2020-05-16 12:00:00+00:00,5.720890362254067,signal
2020-05-22 08:00:00+00:00,short,15528.274634284948,2020-05-22 12:00:00+00:00,-11.837991997264908,signal
2020-05-24 12:00:00+00:00,short,15516.436642287683,2020-05-25 16:00:00+00:00,51.28637025932949,signal
2020-05-26 04:00:00+00:00,short,15567.723012547012,2020-05-27 12:00:00+00:00,-40.795299183479074,signal
2020-05-29 00:00:00+00:00,long,15526.927713363533,2020-06-02 16:00:00+00:00,350.19876886892416,signal
2020-06-04 00:00:00+00:00,long,15877.126482232457,2020-06-04 08:00:00+00:00,-19.003566068155124,signal
2020-06-11 20:00:00+00:00,long,15858.122916164302,2020-06-13 08:00:00+00:00,12.707502078175821,signal
2020-06-13 08:00:00+00:00,short,15870.830418242478,2020-06-14 12:00:00+00:00,2.458438348274285,signal
2020-06-15 04:00:00+00:00,short,15873.288856590752,2020-06-15 20:00:00+00:00,-54.12191409567822,signal
2020-06-17 16:00:00+00:00,short,15819.166942495074,2020-06-18 08:00:00+00:00,-11.501852778676039,signal
2020-06-18 16:00:00+00:00,short,15807.665089716398,2020-06-18 20:00:00+00:00,-3.821739836670531,signal
2020-06-19 20:00:00+00:00,short,15803.843349879728,2020-06-21 20:00:00+00:00,-11.822620914676008,signal
2020-06-22 00:00:00+00:00,short,15792.020728965052,2020-06-22 12:00:00+00:00,-47.59649957834881,signal
2020-06-23 16:00:00+00:00,long,15744.424229386703,2020-06-24 12:00:00+00:00,-1018.7525846448298,signal
2020-06-24 16:00:00+00:00,short,14725.671644741873,2020-06-24 20:00:00+00:00,-3.1808757946528203,signal
2020-06-25 04:00:00+00:00,short,14722.49076894722,2020-06-30 08:00:00+00:00,13.046807317989078,signal
2020-06-30 12:00:00+00:00,short,14735.53757626521,2020-06-30 16:00:00+00:00,-6.9348075660382165,signal
2020-06-30 20:00:00+00:00,short,14728.602768699171,2020-07-01 12:00:00+00:00,-8.231677145002323,signal
2020-07-04 08:00:00+00:00,short,14720.371091554169,2020-07-06 12:00:00+00:00,-78.36401492847472,signal
2020-07-17 08:00:00+00:00,short,14642.007076625694,2020-07-19 12:00:00+00:00,-7.023743412695694,signal
2020-07-22 04:00:00+00:00,long,14634.983333212998,2020-08-02 08:00:00+00:00,7359.630565440244,signal
2020-08-05 16:00:00+00:00,long,21994.613898653242,2020-08-07 00:00:00+00:00,92.09287195217257,signal
2020-08-15 04:00:00+00:00,long,22086.706770605415,2020-08-15 16:00:00+00:00,-210.7527000046939,signal
2020-08-16 00:00:00+00:00,long,21875.95407060072,2020-08-16 04:01:00+00:00,244.4694341620925,signal
2020-08-22 00:00:00+00:00,short,22120.423504762814,2020-08-22 08:00:00+00:00,-13.734973544029344,signal
