entry_time,exit_time,side,entry_price,exit_price,bars,pnl
2020-01-26 16:00:00+00:00,2020-02-02 04:00:00+00:00,long,8565.04,9379.19,39,1855.8171859199829
2020-02-02 12:00:00+00:00,2020-02-02 20:00:00+00:00,long,9457.85,9338.2,2,-325.85471715604945
2020-02-03 00:00:00+00:00,2020-02-03 16:00:00+00:00,long,9396.06,9331.11,4,-169.28445064738844
2020-02-06 16:00:00+00:00,2020-02-10 04:00:00+00:00,long,9755.26,9985.67,21,381.5481041155872
2020-02-11 12:00:00+00:00,2020-02-15 12:00:00+00:00,long,10204.39,9982.18,24,-788.8768224151154
2020-02-18 20:00:00+00:00,2020-02-19 20:00:00+00:00,long,10174.32,9593.65,6,-1092.864595900408
2020-02-23 08:00:00+00:00,2020-02-24 00:00:00+00:00,long,9842.16,9759.23,4,-183.64182232246094
2020-04-04 04:00:00+00:00,2020-04-10 00:00:00+00:00,long,6725.67,7172.94,35,699.0258602424583
2020-04-12 12:00:00+00:00,2020-04-13 00:00:00+00:00,long,7014.12,6671.0,3,-736.3948806558601
2020-04-23 20:00:00+00:00,2020-05-04 04:00:00+00:00,long,7483.35,8653.3,62,2052.467318629506
2020-05-04 12:00:00+00:00,2020-05-10 00:00:00+00:00,long,8848.0,8621.65,33,-437.78392336355137
2020-05-13 20:00:00+00:00,2020-05-15 20:00:00+00:00,long,9305.91,9310.73,12,-5.858732804577812
2020-05-16 04:00:00+00:00,2020-05-16 08:00:00+00:00,long,9385.86,9410.0,1,20.88972766156803
2020-05-28 20:00:00+00:00,2020-06-02 12:00:00+00:00,long,9569.59,9467.9,28,-291.10627679580284
2020-06-03 20:00:00+00:00,2020-06-04 04:00:00+00:00,long,9663.59,9644.81,2,-41.29062417703972
2020-06-11 16:00:00+00:00,2020-06-13 12:00:00+00:00,long,9280.99,9433.97,11,42.67181177659768
2020-06-23 12:00:00+00:00,2020-06-24 08:00:00+00:00,long,9695.89,9337.26,5,-1056.2995742646326
2020-07-22 04:00:00+00:00,2020-08-02 04:00:00+00:00,long,9301.44,11327.7,66,9235.401428074812
2020-08-05 12:00:00+00:00,2020-08-06 20:00:00+00:00,long,11672.0,11770.56,8,173.8762021994953
2020-08-15 00:00:00+00:00,2020-08-15 12:00:00+00:00,long,11900.97,11858.01,3,-151.64585299855753
2020-08-15 20:00:00+00:00,2020-08-16 00:00:00+00:00,long,11859.04,11942.2,1,218.15265294952405
2020-08-24 08:00:00+00:00,2020-08-24 12:00:00+00:00,long,11799.0,11768.0,1,-151.74837196551016
2020-10-10 00:00:00+00:00,2020-10-16 04:00:00+00:00,long,11413.28,11309.01,37,-625.5118317363158
2020-10-19 16:00:00+00:00,2020-10-26 16:00:00+00:00,long,11687.69,12997.57,42,5702.511562151274
2020-10-26 20:00:00+00:00,2020-10-28 12:00:00+00:00,long,13047.24,13208.65,10,485.0605463238244
2020-10-29 12:00:00+00:00,2020-11-02 08:00:00+00:00,long,13429.04,13406.01,23,-76.88530146033008
2020-11-03 12:00:00+00:00,2020-11-07 16:00:00+00:00,long,13701.33,14654.74,25,2639.8519416514937
