entry_time,exit_time,side,entry_price,exit_price,bars,pnl
2020-01-16 20:00:00+00:00,2020-01-17 00:00:00+00:00,long,8725.08,8788.71,1,30.2298204340168
2020-01-17 00:00:00+00:00,2020-01-17 04:00:00+00:00,long,8788.71,8944.5,1,75.06358967645974
2020-01-17 04:00:00+00:00,2020-01-17 08:00:00+00:00,long,8944.5,8914.51,1,-14.752650329415701
2020-01-17 08:00:00+00:00,2020-01-17 12:00:00+00:00,long,8914.51,8857.11,1,-27.15865811236108
2020-01-17 12:00:00+00:00,2020-01-17 16:00:00+00:00,long,8857.11,8883.8,1,10.25191233935584
2020-01-17 16:00:00+00:00,2020-01-17 20:00:00+00:00,long,8883.8,8918.72,1,16.601991037647167
2020-01-17 20:00:00+00:00,2020-01-18 00:00:00+00:00,long,8918.72,8931.1,1,5.576657928675559
2020-01-18 00:00:00+00:00,2020-01-18 04:00:00+00:00,long,8931.1,8852.8,1,-38.37485119154553
2020-01-18 04:00:00+00:00,2020-01-18 08:00:00+00:00,long,8852.8,8885.99,1,15.07725334584211
2020-01-18 08:00:00+00:00,2020-01-18 12:00:00+00:00,long,8885.99,8910.0,1,12.083508596229876
2020-01-18 12:00:00+00:00,2020-01-18 16:00:00+00:00,long,8910.0,8914.13,1,0.606255592443631
2020-01-18 16:00:00+00:00,2020-01-18 20:00:00+00:00,long,8914.13,8925.0,1,5.664613678070964
2020-01-18 20:00:00+00:00,2020-01-19 00:00:00+00:00,long,8925.0,9165.18,1,129.13181532678755
2020-01-19 00:00:00+00:00,2020-01-19 04:00:00+00:00,long,9165.18,9092.21,1,-37.78774901481847
2020-01-19 04:00:00+00:00,2020-01-19 08:00:00+00:00,long,9092.21,8704.84,1,-207.4577264066629
2020-01-19 08:00:00+00:00,2020-01-19 12:00:00+00:00,short,8704.84,8639.0,1,28.772393404291506
2020-01-19 12:00:00+00:00,2020-01-19 16:00:00+00:00,short,8639.0,8655.01,1,-3.6192903766295785
2020-01-19 16:00:00+00:00,2020-01-19 20:00:00+00:00,short,8655.01,8705.85,1,-23.308355916369692
2020-01-19 20:00:00+00:00,2020-01-20 00:00:00+00:00,short,8705.85,8671.56,1,16.017382150357662
2020-01-20 00:00:00+00:00,2020-01-20 04:00:00+00:00,short,8671.56,8668.0,1,1.51758376678481
2020-01-20 04:00:00+00:00,2020-01-20 08:00:00+00:00,short,8668.0,8622.74,1,21.079282200125817
2020-01-20 08:00:00+00:00,2020-01-20 12:00:00+00:00,short,8622.74,8680.17,1,-27.007644963545317
2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,short,8680.17,8678.35,1,1.2304599075541773
2020-01-20 16:00:00+00:00,2020-01-20 20:00:00+00:00,short,8678.35,8650.0,1,13.686813831958716
2020-01-20 20:00:00+00:00,2020-01-21 00:00:00+00:00,short,8650.0,8679.0,1,-13.66242536079153
2020-01-21 00:00:00+00:00,2020-01-21 04:00:00+00:00,short,8679.0,8639.96,1,19.460095255557462
2020-01-21 04:00:00+00:00,2020-01-21 08:00:00+00:00,short,8639.96,8662.99,1,-11.221512460551821
2020-01-21 08:00:00+00:00,2020-01-21 12:00:00+00:00,short,8662.99,8650.78,1,6.349251294846908
2020-01-21 12:00:00+00:00,2020-01-21 16:00:00+00:00,short,8650.78,8536.51,1,63.02552066736462
2020-01-21 16:00:00+00:00,2020-01-21 20:00:00+00:00,short,8536.51,8742.43,1,-109.82092297327836
