case,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity,fill_count,liquidation_count,fees_paid,funding_paid,realized_pnl,order_notional,max_leverage_observed,max_margin_ratio,minimum_margin_buffer,max_minute_participation_observed,maker_enabled,maker_order_count,maker_cancel_count,maker_fill_count,taker_fill_count,maker_filled_notional,taker_filled_notional,maker_fill_ratio,maker_fill_events_per_order,maker_fee_saved_vs_taker,calmar,strategy_drawdown_enabled,governor_peak_equity,governor_max_drawdown_observed,governor_min_scale_observed,governor_recovery_enabled,governor_recovery_max_signal,governor_continuation_reentry_enabled,governor_continuation_reentry_recovery_buffer
main_native_rebate30,44.38906050199755,0.7854499491684954,0.4017894658371435,1.6431615550460328,3.0117795651378723,-0.24193872174751685,255.0,0.3333333333333333,453890.60501997545,1649.0,0.0,26431.196480536426,35992.980180617225,506314.78168112645,153524942.72138354,6.568208257415233,0.07577380359752083,9953.611117055281,0.019999987064095406,1.0,516.0,7.0,841.0,705.0,89419824.29137994,64105118.43000352,0.5824449285329404,1.62984496124031,23785.67326150706,,,,,,,,,
main_wzy_execution,3.5280870216139553,0.2579284370752737,0.23217317041196373,1.1053135463650599,1.963988166536766,-0.1913217247327622,192.0,0.3385416666666667,45280.87021613955,747.0,0.0,2865.2079064760837,4785.854084398687,42931.93220701435,12080916.932928197,6.198089288280679,0.02981886860202933,9943.357223426156,0.019999680118412973,1.0,362.0,0.0,372.0,301.0,6781036.032364942,5299880.900563252,0.5613014368042131,1.0276243093922652,2576.793692298678,1.3481398280072354,1.0,55131.88570549052,0.19396333091208395,0.0,1.0,0.25,1.0,0.04
main_wzy_execution_no_governor,37.84300115245966,0.743697265761665,0.4019484233141762,1.5836345883895366,2.8933406009315057,-0.24401705995853318,255.0,0.3333333333333333,388430.01152459654,1580.0,0.0,33598.30056603551,32519.957307301585,444548.2693979328,136662242.87286666,6.549593644310448,0.07099661113535803,9861.900837632462,0.01999998528599528,1.0,515.0,7.0,807.0,670.0,79572574.4244673,57089668.448399335,0.5822571966603213,1.5669902912621358,30237.57828129757,3.047726523252286,0.0,492590.0878657911,0.2956569370849025,1.0,1.0,0.25,1.0,0.04
wzy_live_current,0.2342483065038965,0.032493149323639337,0.12929469317081685,0.31256138286679,0.465976190343127,-0.1611155216429735,324.0,0.4228395061728395,12342.483065038965,767.0,0.0,1073.4210300020068,713.9260123037163,4129.830107344677,3468739.8040615856,4.049727729436927,0.016222808230793848,9823.204410788849,0.019999260175803276,1.0,368.0,0.0,386.0,160.0,2553043.3679452557,915696.4361163293,0.7360146658898628,1.048913043478261,970.1564798191972,0.20167609546424117,1.0,14802.942018856842,0.20323943261737987,0.0,1.0,0.25,0.0,0.03
wzy_v72_current,4.720862608817546,0.30341996053839826,0.21582959721501263,1.3374937041032973,2.460305197902163,-0.17170324757356747,489.0,0.40081799591002043,57208.62608817546,1396.0,0.0,4858.196792495698,2606.354593837846,54673.17747450888,15097993.266334094,5.600461558374509,0.024583023597819945,9863.801720712168,0.019999628883742276,1.0,721.0,0.0,743.0,286.0,11517844.609219363,3580148.6571147284,0.7628725490891668,1.030513176144244,4376.780951503358,1.7671183558039334,1.0,61383.74802994252,0.17614991603270225,0.0,1.0,0.25,1.0,0.04
wzy_v72_family_execution,9.144918170971575,0.4219477712959565,0.24172310002218164,1.579495077726184,2.963528239505084,-0.2484359298197263,503.0,0.40357852882703776,101449.18170971575,1478.0,0.0,5818.971232693322,4213.862114440362,101482.01505684938,25527732.86497691,5.586954914965763,0.025178785799101967,9863.1237789249,0.019999758835034586,1.0,744.0,0.0,799.0,303.0,19701672.979899988,5826059.8850769065,0.7717752721758521,1.0739247311827957,5240.645012653396,1.698416857827837,1.0,108700.06024260199,0.26216929790244825,0.95,0.0,0.25,0.0,0.03
wzy_v72_no_governor,7.869361124622271,0.3932124164897135,0.2417031190732945,1.494907259864202,2.782504862034765,-0.25790750167561405,503.0,0.3976143141153082,88693.61124622272,1468.0,0.0,7609.789823447097,3933.4783248748327,90236.87939454455,23402720.073984485,5.6005128493806815,0.025111801855159658,9863.801720712168,0.019999758835034586,1.0,743.0,0.0,792.0,300.0,18037746.665319115,5364973.408665372,0.770754280198851,1.065948855989233,6854.343732821263,1.5246257434740331,0.0,95169.84099302023,0.2721239454660739,1.0,1.0,0.25,1.0,0.04
wzy_v72_wzy_maker_soft_governor,7.830556225021596,0.3922845735652585,0.24145443153273585,1.4934337029571887,2.77928966494652,-0.25545833938979157,503.0,0.3976143141153082,88305.56225021595,1468.0,0.0,7582.019165503822,3919.150129040289,89806.73154476007,23317627.376291245,5.6005128493806815,0.025111801855159658,9863.801720712168,0.019999758835034586,1.0,742.0,0.0,791.0,301.0,17971990.354201447,5345637.022089814,0.7707469574059188,1.0660377358490567,6829.356334596549,1.5356107555631229,1.0,94753.6948010248,0.26917438802463944,0.95,0.0,0.25,0.0,0.03
wzy_v72_x_native,6.3700189443153095,0.3545598993073682,0.24094354794700962,1.381769857183067,2.5489402416597935,-0.2662156516163944,503.0,0.3856858846918489,73700.1894431531,1458.0,0.0,12751.496490254494,3544.6314936997533,79996.31742710713,20663855.58526018,5.594135638579941,0.02489710653627443,9830.599971803103,0.019999758835034586,0.0,0.0,0.0,0.0,1082.0,0.0,20663855.58526018,0.0,0.0,0.0,1.3318521925911184,1.0,79242.41662738506,0.2799052781576713,0.95,0.0,0.25,0.0,0.03
wzy_v72_x_native_rebate30,7.25607405233176,0.37812728196671475,0.2411590912264434,1.4524655785779352,2.697592078636564,-0.2597614116999504,503.0,0.3956262425447316,82560.74052331761,1465.0,0.0,9631.292888354945,3769.4333839935616,85961.466795666,22274821.749352183,5.586424086030544,0.02497743250716639,9855.132224717898,0.019999758835034586,0.0,0.0,0.0,0.0,1089.0,0.0,22274821.749352183,0.0,0.0,0.0,1.4556714928986005,1.0,88654.55712560825,0.2734240730841767,0.95,0.0,0.25,0.0,0.03
