entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason,equity_at_trigger
2020-01-26 20:00:00+00:00,long,10000.0,,,,2020-02-02 08:00:00+00:00,9360.0,787.4470045307025,signal,
2020-02-02 16:00:00+00:00,long,10787.447004530703,,,,2020-02-03 00:00:00+00:00,480.0,-112.63376780291946,signal,
2020-02-03 04:00:00+00:00,long,10674.813236727783,,,,2020-02-03 20:00:00+00:00,960.0,6.614927033999265,signal,
2020-02-06 20:01:00+00:00,long,10681.428163761782,,,,2020-02-10 05:58:00+00:00,4917.0,-249.0640283624598,stop_loss,10436.105925169451
2020-02-11 16:01:00+00:00,long,10432.364135399323,,,,2020-02-15 15:53:00+00:00,5752.0,-176.07101896454697,stop_loss,10256.995882226603
2020-02-19 00:00:00+00:00,long,10256.293116434776,,,,2020-02-19 21:47:00+00:00,1307.0,-144.94881307603646,stop_loss,10113.294987352017
2020-02-23 12:01:00+00:00,long,10111.34430335874,,,,2020-02-24 04:00:00+00:00,959.0,-75.15569365215015,signal,
2020-04-04 08:00:00+00:00,long,10036.188609706589,,,,2020-04-10 04:00:00+00:00,8400.0,128.16121008243863,signal,
2020-04-12 16:00:00+00:00,long,10164.349819789028,,,,2020-04-13 00:30:00+00:00,510.0,-49.60883841963914,stop_loss,10115.256519877661
2020-04-22 16:00:00+00:00,long,10114.740981369388,,,,2020-04-29 16:44:00+00:00,10124.0,795.3234211525287,take_profit,10914.288288984357
2020-04-30 00:00:00+00:00,long,10910.064402521917,,,,2020-04-30 09:52:00+00:00,592.0,-48.31884046245614,stop_loss,10872.929062750529
2020-04-30 16:00:00+00:00,long,10861.745562059461,,,,2020-05-04 08:00:00+00:00,5280.0,-49.890631030719305,signal,
2020-05-04 16:01:00+00:00,long,10811.854931028742,,,,2020-05-10 00:15:00+00:00,7694.0,457.09738472007666,stop_loss,11269.443630152502
2020-05-14 00:00:00+00:00,long,11268.952315748818,,,,2020-05-16 00:00:00+00:00,2880.0,-1.3185940711518924,signal,
2020-05-16 08:00:00+00:00,long,11267.633721677666,,,,2020-05-16 12:00:00+00:00,240.0,5.457418213345591,signal,
2020-05-29 00:00:00+00:00,long,11273.091139891012,,,,2020-06-02 14:48:00+00:00,6648.0,-49.48460185528529,stop_loss,11226.646931989453
2020-06-04 00:00:00+00:00,long,11223.606538035727,,,,2020-06-04 08:00:00+00:00,480.0,-10.512707323134237,signal,
2020-06-11 20:00:00+00:00,long,11213.093830712593,,,,2020-06-13 08:00:00+00:00,2160.0,11.468300718144746,signal,
2020-06-23 16:00:00+00:00,long,11224.562131430737,,,,2020-06-24 10:38:00+00:00,1118.0,-494.60192929369987,stop_loss,10732.116372446635
2020-07-22 08:00:00+00:00,long,10729.960202137037,,,,2020-07-26 10:05:00+00:00,5885.0,2181.306342822727,take_profit,12928.613300539195
2020-07-26 12:00:00+00:00,long,12911.266544959764,,,,2020-07-27 00:52:00+00:00,772.0,-124.73240923254161,take_profit,12808.65876936076
2020-07-27 08:00:00+00:00,long,12786.534135727223,,,,2020-08-01 06:16:00+00:00,7096.0,1485.3549750262064,take_profit,14274.93901503304
2020-08-01 08:00:00+00:00,long,14271.88911075343,,,,2020-08-01 08:01:00+00:00,1.0,36.302193367249856,take_profit,14322.73969809814
2020-08-01 12:00:00+00:00,long,14308.191304120679,,,,2020-08-01 12:06:00+00:00,6.0,8.99585154171109,take_profit,14321.604258412173
2020-08-01 16:00:00+00:00,long,14317.18715566239,,,,2020-08-01 16:35:00+00:00,35.0,98.00668811318974,take_profit,14429.96426143623
2020-08-02 00:00:00+00:00,long,14415.19384377558,,,,2020-08-02 04:39:00+00:00,279.0,12.135822241987626,stop_loss,14431.674025492466
