entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason
2020-01-23 16:00:00+00:00,short,10000.0,,,,2020-01-24 20:00:00+00:00,1680.0,-51.47198659186506,signal
2020-01-27 16:00:00+00:00,long,9948.528013408135,,,,2020-01-31 20:00:00+00:00,6000.0,731.5434538169011,signal
2020-02-01 08:00:00+00:00,long,10680.071467225036,,,,2020-02-04 12:00:00+00:00,4560.0,-175.20872071885424,signal
2020-02-06 00:00:00+00:00,long,10504.862746506182,,,,2020-02-10 12:00:00+00:00,6480.0,-36.611651755245475,signal
2020-02-12 00:00:00+00:00,long,10468.251094750936,,,,2020-02-15 16:00:00+00:00,5280.0,-229.43786060852472,signal
2020-02-26 04:01:00+00:00,short,10238.813234142412,,,,2020-03-02 20:00:00+00:00,8159.0,66.27457861437506,signal
2020-03-08 20:00:00+00:00,short,10305.087812756787,,,,2020-03-17 20:00:00+00:00,12960.0,281.81214493152765,signal
2020-03-18 08:00:00+00:00,short,10586.899957688314,,,,2020-03-19 16:00:00+00:00,1920.0,-27.808932776890288,signal
2020-03-29 04:00:00+00:00,short,10559.091024911424,,,,2020-03-30 12:00:00+00:00,1920.0,-43.86813333524151,signal
2020-04-04 12:00:00+00:00,long,10515.222891576183,,,,2020-04-05 08:00:00+00:00,1200.0,6.983485036325874,signal
2020-04-05 20:00:00+00:00,long,10522.206376612508,,,,2020-04-09 04:00:00+00:00,4800.0,51.803879730254266,signal
2020-04-09 16:00:00+00:00,long,10574.010256342763,,,,2020-04-10 08:00:00+00:00,960.0,-42.65860645916655,signal
2020-04-23 20:00:00+00:00,long,10531.351649883596,,,,2020-04-30 12:00:00+00:00,9600.0,3970.4424363245707,signal
2020-05-01 00:00:00+00:00,long,14501.794086208167,,,,2020-05-04 08:00:00+00:00,4800.0,144.26584361104506,signal
2020-05-04 20:02:00+00:00,long,14646.059929819212,,,,2020-05-10 00:00:00+00:00,7438.0,765.9295939767926,signal
2020-05-14 12:01:00+00:00,long,15411.989523796005,,,,2020-05-20 16:00:00+00:00,8879.0,-661.3402673815945,signal
2020-05-26 16:00:00+00:00,short,14750.64925641441,,,,2020-05-27 12:00:00+00:00,1200.0,-93.2262183381099,signal
2020-05-29 08:00:00+00:00,long,14657.4230380763,,,,2020-06-01 20:01:00+00:00,5041.0,-73.87713855349648,signal
2020-06-02 08:03:00+00:00,long,14583.545899522804,,,,2020-06-02 16:00:00+00:00,477.0,-496.8104519811259,signal
2020-06-24 00:00:00+00:00,long,14086.735447541678,,,,2020-06-24 12:00:00+00:00,720.0,-109.97396231602397,signal
2020-07-04 16:00:00+00:00,short,13976.761485225654,,,,2020-07-06 08:00:00+00:00,2400.0,-44.154387553426204,signal
2020-08-01 08:00:00+00:00,long,13932.607097672228,,,,2020-08-02 08:00:00+00:00,1440.0,-109.05573410872967,signal
2020-09-22 12:00:00+00:00,short,13823.551363563498,,,,2020-09-24 16:00:00+00:00,3120.0,-10.890961280725605,signal
2020-10-19 20:01:00+00:00,long,13812.660402282772,,,,2020-10-28 12:00:00+00:00,12479.0,468.9794357300325,signal
2020-11-08 20:00:00+00:00,long,14281.639838012805,,,,2020-11-09 16:00:00+00:00,1200.0,-459.6129501503965,signal
2020-11-20 04:00:00+00:00,long,13822.026887862408,,,,2020-11-22 12:00:00+00:00,3360.0,-21.722602482213915,signal
2020-11-30 16:00:00+00:00,long,13800.304285380194,,,,2020-12-03 04:00:00+00:00,3600.0,-50.06946366070224,signal
2020-12-21 00:00:00+00:00,long,13750.234821719492,,,,2020-12-21 12:00:00+00:00,720.0,-120.90232723908593,signal
2021-01-07 08:00:00+00:00,long,13629.332494480406,,,,2021-01-10 20:00:00+00:00,5040.0,13.942457886018019,signal
2021-02-04 08:00:00+00:00,long,13643.274952366424,,,,2021-02-07 16:00:00+00:00,4800.0,-23.029013004070293,signal
2021-02-15 04:00:00+00:00,long,13620.245939362354,,,,2021-02-22 12:00:00+00:00,10560.0,228.6378684428346,signal
2021-03-10 08:00:00+00:00,long,13848.883807805189,,,,2021-03-15 08:00:00+00:00,7200.0,141.75431002777077,signal
2021-04-10 16:01:00+00:00,long,13990.63811783296,,,,2021-04-16 08:00:00+00:00,8159.0,36.20182225334975,signal
2021-05-13 04:00:00+00:00,short,14026.839940086309,,,,2021-05-24 20:00:00+00:00,16800.0,451.9610152427613,signal
2021-05-25 08:00:00+00:00,short,14478.80095532907,,,,2021-05-27 04:00:00+00:00,2640.0,5.414748834886268,signal
2021-06-07 00:00:00+00:00,short,14484.215704163957,,,,2021-06-09 12:00:00+00:00,3600.0,30.373757292360096,signal
2021-06-16 04:00:00+00:00,long,14514.589461456317,,,,2021-06-17 20:00:00+00:00,2400.0,-108.39063773224734,signal
2021-06-19 12:00:00+00:00,short,14406.19882372407,,,,2021-06-23 08:00:00+00:00,5520.0,69.63818738661757,signal
2021-06-23 20:00:00+00:00,short,14475.837011110687,,,,2021-06-27 08:00:00+00:00,5040.0,-5.162478820160686,signal
2021-07-19 12:00:00+00:00,long,14470.674532290526,,,,2021-07-19 16:00:00+00:00,240.0,-0.6040011745244556,signal
2021-07-20 08:00:00+00:00,short,14470.070531116002,,,,2021-07-21 12:00:00+00:00,1680.0,-26.124886145773417,signal
2021-07-30 12:00:00+00:00,long,14443.945644970228,,,,2021-08-02 00:00:00+00:00,3600.0,-529.9594603494788,signal
2021-08-09 12:00:00+00:00,long,13913.98618462075,,,,2021-08-12 16:00:00+00:00,4560.0,-135.78057523425014,signal
2021-08-23 04:01:00+00:00,long,13778.2056093865,,,,2021-08-24 16:00:00+00:00,2159.0,-140.68324956922334,signal
2021-10-03 00:00:00+00:00,long,13637.522359817276,,,,2021-10-04 12:00:00+00:00,2160.0,-7.042448424102986,signal
2021-10-12 20:00:00+00:00,long,13630.479911393173,,,,2021-10-13 08:00:00+00:00,720.0,-46.81195587854927,signal
2021-11-08 08:00:00+00:00,long,13583.667955514624,,,,2021-11-11 00:00:00+00:00,3840.0,-69.53461341965885,signal
2021-12-04 04:00:00+00:00,short,13514.133342094965,,,,2021-12-07 00:00:00+00:00,4080.0,19.24111152209116,signal
2021-12-29 08:00:00+00:00,short,13533.374453617056,,,,2021-12-31 16:00:00+00:00,3360.0,-31.18011864694563,signal
2022-01-10 04:00:00+00:00,short,13502.19433497011,,,,2022-01-11 20:00:00+00:00,2400.0,-18.916289835782663,signal
2022-02-06 08:01:00+00:00,long,13483.278045134328,,,,2022-02-08 20:00:00+00:00,3599.0,105.41510659712003,signal
2022-02-21 04:00:00+00:00,short,13588.693151731448,,,,2022-02-23 12:00:00+00:00,3360.0,9.80643694353239,signal
2022-03-04 04:00:00+00:00,long,13598.49958867498,,,,2022-03-05 00:00:00+00:00,1200.0,-192.23709308441175,signal
2022-03-20 00:00:00+00:00,long,13406.262495590569,,,,2022-03-31 16:00:00+00:00,16800.0,337.5265762829422,signal
2022-04-23 04:00:00+00:00,short,13743.78907187351,,,,2022-04-25 20:00:00+00:00,3840.0,-70.44574586239469,signal
2022-05-05 20:00:00+00:00,short,13673.343326011116,,,,2022-05-15 20:00:00+00:00,14400.0,554.5399971413899,signal
2022-06-12 04:00:00+00:00,short,14227.883323152506,,,,2022-06-19 20:00:00+00:00,11040.0,1159.584482178474,signal
2022-06-20 08:00:00+00:00,short,15387.46780533098,,,,2022-06-22 12:00:00+00:00,3120.0,-1.7054299593382893,signal
2022-06-30 16:00:00+00:00,short,15385.762375371642,,,,2022-07-03 08:00:00+00:00,3840.0,-0.7241196922877862,signal
2022-07-04 04:00:00+00:00,long,15385.038255679354,,,,2022-07-04 12:00:00+00:00,480.0,2.0699174750952807,signal
2022-07-12 04:01:00+00:00,short,15387.10817315445,,,,2022-07-14 16:00:00+00:00,3599.0,-69.04160672713078,signal
2022-07-20 00:00:00+00:00,long,15318.066566427318,,,,2022-07-21 04:00:00+00:00,1680.0,-83.02191057707023,signal
2022-07-21 16:00:00+00:00,long,15235.044655850248,,,,2022-07-23 12:00:00+00:00,2640.0,-14.043356729123843,signal
2022-07-28 08:00:00+00:00,long,15221.001299121124,,,,2022-08-02 08:00:00+00:00,7200.0,-320.1955547763537,signal
2022-08-08 16:00:00+00:00,long,14900.80574434477,,,,2022-08-09 12:00:00+00:00,1200.0,-558.6142814138584,signal
2022-08-19 12:00:00+00:00,short,14342.191462930912,,,,2022-08-24 04:00:00+00:00,6720.0,10.394164530463968,signal
2022-08-27 04:00:00+00:00,short,14352.585627461376,,,,2022-08-29 16:00:00+00:00,3600.0,-10.5798136940939,signal
2022-09-07 08:01:00+00:00,short,14342.005813767282,,,,2022-09-09 04:00:00+00:00,2639.0,-88.84515210885365,signal
2022-09-20 08:00:00+00:00,short,14253.160661658429,,,,2022-09-26 20:00:00+00:00,9360.0,1.713604385171493,signal
2022-10-22 00:00:00+00:00,short,14254.8742660436,,,,2022-10-23 20:00:00+00:00,2640.0,-30.8990148359444,signal
2022-11-05 04:00:00+00:00,long,14223.975251207656,,,,2022-11-07 00:00:00+00:00,2640.0,-92.50319043082527,signal
2022-11-21 08:00:00+00:00,short,14131.47206077683,,,,2022-11-23 04:00:00+00:00,2640.0,-121.33705801543329,signal
2022-12-18 16:01:00+00:00,short,14010.135002761397,,,,2022-12-20 12:00:00+00:00,2639.0,-11.81393283637044,signal
2023-01-07 16:00:00+00:00,long,13998.321069925027,,,,2023-01-25 16:00:00+00:00,25920.0,9408.565360959332,signal
