entry_time,side,equity_before,exit_time,pnl,exit_reason
2020-01-26 20:00:00+00:00,long,10000.0,2020-02-02 08:00:00+00:00,878.5394799088517,signal
2020-02-02 16:00:00+00:00,long,10878.539479908852,2020-02-03 00:00:00+00:00,-154.80933517999802,signal
2020-02-03 04:00:00+00:00,long,10723.730144728854,2020-02-03 20:00:00+00:00,-5.43974568844169,signal
2020-02-06 20:00:00+00:00,long,10718.290399040412,2020-02-10 08:00:00+00:00,-57.83663561695903,signal
2020-02-11 16:00:00+00:00,long,10660.453763423453,2020-02-15 16:00:00+00:00,-237.05353242067213,signal
2020-02-19 00:00:00+00:00,long,10423.40023100278,2020-02-20 00:00:00+00:00,-379.8378517565361,signal
2020-02-23 12:00:00+00:00,long,10043.562379246245,2020-02-24 04:00:00+00:00,-104.7725129760911,signal
2020-04-04 08:00:00+00:00,long,9938.789866270154,2020-04-10 04:00:00+00:00,556.8755828105859,signal
2020-04-12 16:00:00+00:00,long,10495.66544908074,2020-04-13 04:00:00+00:00,-271.9832800646691,signal
2020-04-22 16:00:00+00:00,long,10223.68216901607,2020-05-04 08:00:00+00:00,4116.989718300665,signal
2020-05-04 16:00:00+00:00,long,14340.671887316736,2020-05-10 04:00:00+00:00,1054.8607557686355,signal
2020-05-14 00:00:00+00:00,long,15395.532643085371,2020-05-16 00:00:00+00:00,-5.740097979847633,signal
2020-05-16 08:00:00+00:00,long,15389.792545105523,2020-05-16 12:00:00+00:00,7.891131923644934,signal
2020-05-29 00:00:00+00:00,long,15397.683677029168,2020-06-02 16:00:00+00:00,258.1744142992029,signal
2020-06-04 00:00:00+00:00,long,15655.858091328371,2020-06-04 08:00:00+00:00,-26.349172142045063,signal
2020-06-11 20:00:00+00:00,long,15629.508919186326,2020-06-13 08:00:00+00:00,20.465109195489276,signal
2020-06-23 16:00:00+00:00,long,15649.974028381816,2020-06-24 12:00:00+00:00,-1088.8659167018432,signal
2020-07-22 08:00:00+00:00,long,14561.108111679972,2020-08-02 08:00:00+00:00,8387.89846884101,signal
2020-08-05 16:00:00+00:00,long,22949.00658052098,2020-08-07 00:00:00+00:00,128.38000821582682,signal
2020-08-15 04:00:00+00:00,long,23077.38658873681,2020-08-15 16:00:00+00:00,-220.77356648925343,signal
2020-08-16 00:00:00+00:00,long,22856.613022247555,2020-08-16 04:01:00+00:00,256.7567793861599,signal
2020-08-24 12:00:00+00:00,long,23113.369801633715,2020-08-24 16:01:00+00:00,-82.6268364019561,signal
2020-10-10 04:00:00+00:00,long,23030.74296523176,2020-10-16 08:01:00+00:00,-1234.8262712649448,signal
2020-10-19 20:00:00+00:00,long,21795.916693966814,2020-10-26 20:00:00+00:00,7110.389456444318,signal
2020-10-27 00:00:00+00:00,long,28906.306150411132,2020-10-28 16:00:00+00:00,-174.91604900362654,signal
2020-10-29 16:00:00+00:00,long,28731.390101407505,2020-11-02 12:00:00+00:00,-835.0945597205973,signal
2020-11-03 16:00:00+00:00,long,27896.295541686908,2020-11-07 20:00:00+00:00,694.8484829614972,signal
2020-11-08 16:00:00+00:00,long,28591.144024648405,2020-11-11 00:00:00+00:00,-1316.1630123084506,signal
2020-11-13 00:00:00+00:00,long,27274.981012339955,2020-11-14 12:00:00+00:00,-618.6921826545477,signal
2020-11-15 12:00:00+00:00,long,26656.288829685407,2020-11-15 16:00:00+00:00,48.068531288201484,signal
2020-11-17 16:00:00+00:00,long,26704.35736097361,2020-11-22 12:00:00+00:00,2288.475550818879,signal
2020-11-22 20:00:00+00:00,long,28992.832911792488,2020-11-23 04:00:00+00:00,-71.66455450057401,signal
2020-11-24 12:00:00+00:00,long,28921.168357291914,2020-11-25 08:00:00+00:00,-125.14793389763872,signal
2020-11-29 12:00:00+00:00,long,28796.020423394275,2020-12-01 16:00:00+00:00,1754.1906700864165,signal
2020-12-02 12:00:00+00:00,long,30550.21109348069,2020-12-02 16:00:00+00:00,-401.8574120347439,signal
2020-12-12 20:00:00+00:00,long,30148.353681445948,2020-12-21 12:00:00+00:00,13678.516576219637,signal
2020-12-23 00:00:00+00:00,long,43826.870257665585,2020-12-23 12:00:00+00:00,-538.7365209328636,signal
2020-12-23 16:00:00+00:00,long,43288.13373673272,2020-12-24 00:00:00+00:00,-170.791430483594,signal
2020-12-25 00:00:00+00:00,long,43117.34230624913,2020-12-25 04:00:00+00:00,-194.6290944876455,signal
2020-12-26 20:00:00+00:00,long,42922.71321176148,2021-01-04 12:00:00+00:00,11701.53263978089,signal
2021-01-05 20:00:00+00:00,long,54624.24585154237,2021-01-10 20:00:00+00:00,1901.421802279503,signal
2021-01-14 04:00:00+00:00,long,56525.667653821874,2021-01-15 08:00:00+00:00,-58.44291307726962,signal
2021-02-04 12:00:00+00:00,long,56467.224740744605,2021-02-15 04:00:00+00:00,2185.0080563894007,signal
2021-02-15 20:00:00+00:00,long,58652.232797134006,2021-02-16 00:00:00+00:00,-143.5981418888623,signal
2021-02-17 20:00:00+00:00,long,58508.63465524514,2021-02-22 12:00:00+00:00,1141.2274818733858,signal
2021-03-03 12:00:00+00:00,long,59649.86213711853,2021-03-05 04:00:00+00:00,-2500.955694656688,signal
2021-03-09 20:00:00+00:00,long,57148.90644246184,2021-03-15 12:00:00+00:00,1131.9151512550452,signal
2021-03-17 20:00:00+00:00,long,58280.821593716886,2021-03-21 08:00:00+00:00,-469.4521760328571,signal
2021-03-31 00:00:00+00:00,long,57811.36941768403,2021-04-02 20:00:00+00:00,-171.20687713282678,signal
2021-04-13 16:00:00+00:00,long,57640.1625405512,2021-04-16 08:00:00+00:00,-809.0847214678652,signal
2021-05-02 16:00:00+00:00,long,56831.07781908334,2021-05-04 04:00:00+00:00,246.5654967270675,signal
2021-05-05 20:00:00+00:00,long,57077.643315810405,2021-05-06 04:00:00+00:00,-191.36650058898522,signal
2021-05-06 12:00:00+00:00,long,56886.27681522142,2021-05-06 16:00:00+00:00,-477.35694543345016,signal
2021-05-13 00:00:00+00:00,long,56408.91986978797,2021-05-13 04:00:00+00:00,35.687020415651205,signal
2021-06-15 20:00:00+00:00,long,56444.60689020362,2021-06-17 20:00:00+00:00,-2030.9274252541436,signal
2021-07-30 12:00:00+00:00,long,54413.67946494948,2021-08-02 16:00:00+00:00,-1660.5783363672745,signal
2021-08-04 16:00:00+00:00,long,52753.1011285822,2021-08-05 08:00:00+00:00,-704.5264334901221,signal
2021-08-05 20:00:00+00:00,long,52048.57469509208,2021-08-06 00:00:00+00:00,197.49372827782645,signal
2021-08-08 12:00:00+00:00,long,52246.06842336991,2021-08-12 08:00:00+00:00,566.529581648334,signal
2021-08-13 08:00:00+00:00,long,52812.59800501824,2021-08-15 08:00:00+00:00,-581.1611044800593,signal
2021-08-21 04:00:00+00:00,long,52231.43690053818,2021-08-24 16:00:00+00:00,-1502.9452368343264,signal
2021-08-26 00:00:00+00:00,long,50728.491663703855,2021-08-26 04:00:00+00:00,-634.3599778873468,signal
2021-08-28 00:00:00+00:00,long,50094.13168581651,2021-08-28 16:00:00+00:00,-172.98080885729723,signal
2021-09-18 16:00:00+00:00,long,49921.15087695921,2021-09-19 12:00:00+00:00,-1428.695263215006,signal
