ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
30,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.7855236077690759,0.21293904564976152,0.17442946364414505,1.1929577349095586,1.993943818647817,-0.15844922627313895,3580.0,0.4980446927374302,17855.23607769076
30,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.7764299294440931,0.21087840781732448,0.17507867347998365,1.1794760846885433,1.9714110968592518,-0.15844922627313962,3625.0,0.4979310344827586,17764.29929444093
30,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.7707743624927403,0.20959329910277136,0.17436301012457597,1.1775137601508214,1.9677243818386865,-0.15844922627313895,3573.0,0.49762104673943464,17707.743624927403
30,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.7707743624927403,0.20959329910277136,0.17436301012457597,1.1775137601508214,1.9677243818386865,-0.15844922627313895,3573.0,0.49762104673943464,17707.743624927403
30,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.7566243232121603,0.20636596179182076,0.17503011602628726,1.158436610417382,1.9356842796290135,-0.15844922627313895,3621.0,0.49765258215962443,17566.243232121604
30,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.7491187987049619,0.2046470614928384,0.17493047092461692,1.1508505267422315,1.9229038420316598,-0.15844922627313895,3611.0,0.49709221822209915,17491.18798704962
30,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.7168813498569777,0.19720763359860038,0.1753541467235058,1.1132219447342429,1.8321465246385917,-0.15152870244710115,3567.0,0.5004205214465938,17168.813498569776
24,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.7143348468643704,0.19661602031501246,0.17614282808177695,1.106212521018108,1.8250677396822084,-0.14485832931706588,3595.0,0.5004172461752434,17143.348468643704
30,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.7081373489677134,0.19517374069079385,0.17599982458028196,1.100127339127259,1.8108225770044761,-0.1515287024471007,3612.0,0.5002768549280178,17081.373489677135
30,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.7026991211655018,0.19390528026064047,0.17528795074421727,1.0978275988071549,1.8064292490798561,-0.15152870244710115,3560.0,0.5,17026.99121165502
30,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.7026991211655018,0.19390528026064047,0.17528795074421727,1.0978275988071549,1.8064292490798561,-0.15152870244710115,3560.0,0.5,17026.99121165502
24,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.7056038152023725,0.19458313247769254,0.17678562398326866,1.0932197541102602,1.8038516640615863,-0.14485832931706766,3640.0,0.5002747252747253,17056.038152023724
24,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.7001736534574823,0.19331529887117505,0.1760769260422844,1.0908826730543293,1.7993989692554104,-0.14485832931706588,3588.0,0.5,17001.736534574822
24,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.7001736534574823,0.19331529887117505,0.1760769260422844,1.0908826730543293,1.7993989692554104,-0.14485832931706588,3588.0,0.5,17001.736534574822
30,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.689093143979393,0.19071981950337302,0.17595139632377776,1.0791753216597106,1.7758253416956744,-0.15152870244710115,3608.0,0.5,16890.93143979393
24,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.6865878568514854,0.19013141224428032,0.17673740759886886,1.0723577140680391,1.768924686066828,-0.14485832931706588,3636.0,0.5,16865.878568514854
30,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.6818761597787648,0.18902321273679457,0.17585222501228603,1.071581181230049,1.763202523593743,-0.15152870244710115,3598.0,0.49944413563090606,16818.76159778765
24,120,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.6688125718658049,0.18593976372310195,0.17408004941021474,1.0657832871146964,1.7684965633283642,-0.1554469903682113,3587.0,0.4976303317535545,16688.125718658048
24,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.6793815769851259,0.18843564387454537,0.17663867625272706,1.0647908865119908,1.7563178127408363,-0.14485832931706588,3626.0,0.4994484280198566,16793.81576985126
24,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.6603133359619573,0.18392500219069197,0.1747317219663047,1.0527336466845276,1.7469796036911507,-0.15544699036821052,3632.0,0.49752202643171806,16603.133359619573
