entry_time,side,equity_before,exit_time,pnl,exit_reason
2020-01-23 16:00:00+00:00,short,10000.0,2020-01-24 20:00:00+00:00,-52.556775733308314,signal
2020-01-27 16:00:00+00:00,long,9947.443224266692,2020-01-31 20:00:00+00:00,753.5408641552167,signal
2020-02-01 08:00:00+00:00,long,10700.984088421908,2020-02-04 12:00:00+00:00,-184.55051616662058,signal
2020-02-06 00:00:00+00:00,long,10516.433572255288,2020-02-10 12:00:00+00:00,-3.9941706797126244,signal
2020-02-12 00:00:00+00:00,long,10512.439401575575,2020-02-15 16:00:00+00:00,-232.46596828918337,signal
2020-02-26 04:00:00+00:00,short,10279.973433286392,2020-03-02 20:00:00+00:00,106.97080246312726,signal
2020-03-08 20:00:00+00:00,short,10386.944235749519,2020-03-17 20:00:00+00:00,353.33055282549685,signal
2020-03-18 08:00:00+00:00,short,10740.274788575016,2020-03-19 16:00:00+00:00,-27.862252600820284,signal
2020-03-29 04:00:00+00:00,short,10712.412535974196,2020-03-30 12:00:00+00:00,-45.088675163631706,signal
2020-04-04 12:00:00+00:00,long,10667.323860810564,2020-04-05 08:00:00+00:00,6.940146154856848,signal
2020-04-05 20:00:00+00:00,long,10674.26400696542,2020-04-09 04:00:00+00:00,52.5560226569105,signal
2020-04-09 16:00:00+00:00,long,10726.820029622331,2020-04-10 08:00:00+00:00,-43.397212561121705,signal
2020-04-23 20:00:00+00:00,long,10683.42281706121,2020-04-30 12:00:00+00:00,4012.9154708530896,signal
2020-05-01 00:00:00+00:00,long,14696.3382879143,2020-05-04 08:00:00+00:00,284.43801510410594,signal
2020-05-04 20:00:00+00:00,long,14980.776303018405,2020-05-10 00:00:00+00:00,1663.5313212963283,signal
2020-05-14 12:00:00+00:00,long,16644.307624314733,2020-05-20 16:00:00+00:00,-742.5341533207447,signal
2020-05-26 16:00:00+00:00,short,15901.773470993989,2020-05-27 12:00:00+00:00,-202.21846241072126,signal
2020-05-29 08:00:00+00:00,long,15699.555008583267,2020-06-01 20:02:00+00:00,-153.23752241847433,signal
2020-06-02 08:00:00+00:00,long,15546.317486164793,2020-06-02 16:00:00+00:00,-1048.9005515210993,signal
2020-06-15 12:00:00+00:00,short,14497.416934643694,2020-06-15 20:00:00+00:00,-154.8614267023986,signal
2020-06-20 00:00:00+00:00,short,14342.555507941295,2020-06-20 04:00:00+00:00,-3.739331645618222,signal
2020-06-24 00:00:00+00:00,long,14338.816176295677,2020-06-24 12:00:00+00:00,-820.5149079236598,signal
2020-06-26 04:00:00+00:00,short,13518.301268372017,2020-06-27 12:00:00+00:00,44.768932138564196,signal
2020-06-28 00:00:00+00:00,short,13563.070200510581,2020-07-01 04:00:00+00:00,-70.72821972946076,signal
2020-07-04 16:00:00+00:00,short,13492.34198078112,2020-07-06 08:00:00+00:00,-86.53648946695648,signal
2020-07-22 08:00:00+00:00,long,13405.805491314164,2020-08-02 08:00:00+00:00,10227.249282516994,signal
2020-09-04 04:00:00+00:00,short,23633.054773831158,2020-09-09 20:00:00+00:00,0.1558613262459403,signal
2020-09-10 08:00:00+00:00,short,23633.210635157404,2020-09-11 20:00:00+00:00,-7.974367818253086,signal
2020-09-22 12:00:00+00:00,short,23625.23626733915,2020-09-24 16:00:00+00:00,-19.399782647586107,signal
2020-10-09 20:00:00+00:00,long,23605.836484691565,2020-10-14 04:00:00+00:00,2751.757384734763,signal
2020-10-14 16:00:00+00:00,long,26357.593869426328,2020-10-17 16:00:00+00:00,-147.2606783867086,signal
2020-10-19 20:00:00+00:00,long,26210.33319103962,2020-10-28 12:00:00+00:00,9909.147216540277,signal
2020-11-01 00:00:00+00:00,long,36119.4804075799,2020-11-07 20:00:00+00:00,-666.5783943469796,signal
2020-11-08 20:00:00+00:00,long,35452.90201323292,2020-11-09 16:00:00+00:00,-2443.210261308006,signal
2020-11-13 04:00:00+00:00,long,33009.69175192491,2020-11-15 20:00:00+00:00,-1327.3258669988245,signal
2020-11-17 20:00:00+00:00,long,31682.365884926086,2020-11-22 12:00:00+00:00,1819.5110626276328,signal
2020-11-23 00:00:00+00:00,long,33501.87694755372,2020-11-26 04:00:00+00:00,-464.1759358812633,signal
2020-11-30 16:00:00+00:00,long,33037.701011672456,2020-12-03 04:00:00+00:00,-398.4469446951407,signal
2020-12-13 04:00:00+00:00,long,32639.254066977315,2020-12-15 20:00:00+00:00,2383.453477775576,signal
2020-12-16 16:00:00+00:00,long,35022.70754475289,2020-12-21 12:00:00+00:00,10117.090950821948,signal
2020-12-27 00:00:00+00:00,long,45139.79849557484,2021-01-04 08:00:00+00:00,14097.71912650887,signal
2021-01-07 08:00:00+00:00,long,59237.51762208371,2021-01-10 20:00:00+00:00,71.74697204995755,signal
2021-01-23 12:00:00+00:00,short,59309.26459413367,2021-01-25 04:00:00+00:00,-398.14562370919884,signal
2021-02-04 08:00:00+00:00,long,58911.11897042447,2021-02-07 16:00:00+00:00,-175.9400123420055,signal
2021-02-08 04:00:00+00:00,long,58735.17895808246,2021-02-22 12:00:00+00:00,3842.66346521199,signal
2021-02-28 08:00:00+00:00,long,62577.84242329445,2021-02-28 16:00:00+00:00,-3.1581195047547226,signal
