entry_time,exit_time,side,entry_price,exit_price,bars,pnl
2020-01-26 16:00:00+00:00,2020-02-02 04:00:00+00:00,long,8565.04,9379.19,39,817.2563949561336
2020-02-02 12:00:00+00:00,2020-02-02 20:00:00+00:00,long,9457.85,9338.2,2,-120.73965011067594
2020-02-03 00:00:00+00:00,2020-02-03 16:00:00+00:00,long,9396.06,9331.11,4,5.630248179359114
2020-02-06 16:00:00+00:00,2020-02-10 04:00:00+00:00,long,9755.26,9985.67,21,-100.53797041734833
2020-02-11 12:00:00+00:00,2020-02-15 12:00:00+00:00,long,10204.39,9982.18,24,-159.25222102039152
2020-02-18 20:00:00+00:00,2020-02-19 20:00:00+00:00,long,10174.32,9593.65,6,-263.3728893367188
2020-02-23 08:00:00+00:00,2020-02-24 00:00:00+00:00,long,9842.16,9759.23,4,-90.91028336046111
2020-04-04 04:00:00+00:00,2020-04-10 00:00:00+00:00,long,6725.67,7172.94,35,168.8271335492027
2020-04-12 12:00:00+00:00,2020-04-13 00:00:00+00:00,long,7014.12,6671.0,3,-67.58268075974411
2020-04-22 12:00:00+00:00,2020-04-29 16:00:00+00:00,long,7105.69,8727.77,43,1029.746718964543
2020-04-29 20:00:00+00:00,2020-04-30 08:00:00+00:00,long,8784.2,8845.18,3,185.86678283210313
2020-04-30 12:00:00+00:00,2020-05-04 04:00:00+00:00,long,8778.86,8653.3,22,-106.3963064134332
2020-05-04 12:00:00+00:00,2020-05-10 00:00:00+00:00,long,8848.0,8621.65,33,948.1256273601284
2020-05-13 20:00:00+00:00,2020-05-15 20:00:00+00:00,long,9305.91,9310.73,12,2.3595137076936226
2020-05-16 04:00:00+00:00,2020-05-16 08:00:00+00:00,long,9385.86,9410.0,1,7.607993315616113
2020-05-28 20:00:00+00:00,2020-06-02 12:00:00+00:00,long,9569.59,9467.9,28,406.5404774667513
2020-06-03 20:00:00+00:00,2020-06-04 04:00:00+00:00,long,9663.59,9644.81,2,-13.82366994379663
2020-06-11 16:00:00+00:00,2020-06-13 04:00:00+00:00,long,9280.99,9431.93,9,15.808128562244747
2020-06-23 12:00:00+00:00,2020-06-24 08:00:00+00:00,long,9695.89,9337.26,5,-820.4400185254981
2020-07-22 04:00:00+00:00,2020-07-27 00:00:00+00:00,long,9301.44,10277.22,29,4690.232568024863
2020-07-27 04:00:00+00:00,2020-08-01 16:00:00+00:00,long,10168.0,11790.77,33,2251.048979554751
2020-08-01 20:00:00+00:00,2020-08-02 04:00:00+00:00,long,11811.42,11327.7,2,-46.02418487044997
2020-08-05 12:00:00+00:00,2020-08-06 20:00:00+00:00,long,11672.0,11770.56,8,103.05663708443899
2020-08-15 00:00:00+00:00,2020-08-15 12:00:00+00:00,long,11900.97,11858.01,3,-146.4878701383168
2020-08-15 20:00:00+00:00,2020-08-16 00:00:00+00:00,long,11859.04,11942.2,1,224.14321915895562
2020-08-24 08:00:00+00:00,2020-08-24 12:00:00+00:00,long,11799.0,11768.0,1,-43.382235068776936
2020-10-10 00:00:00+00:00,2020-10-16 04:00:00+00:00,long,11413.28,11309.01,37,-1105.5975825044006
2020-10-19 16:00:00+00:00,2020-10-25 00:00:00+00:00,long,11687.69,13300.61,32,8221.820184669199
2020-10-25 04:00:00+00:00,2020-10-26 16:00:00+00:00,long,13019.26,12997.57,9,-518.9694446042377
2020-10-26 20:00:00+00:00,2020-10-28 12:00:00+00:00,long,13047.24,13208.65,10,-204.2586322753159
2020-10-29 12:00:00+00:00,2020-11-02 08:00:00+00:00,long,13429.04,13406.01,23,-746.4064621347388
2020-11-03 12:00:00+00:00,2020-11-07 16:00:00+00:00,long,13701.33,14654.74,25,560.6155074179551
