entry_time,exit_time,side,entry_price,exit_price,bars,pnl
2020-01-26 16:00:00+00:00,2020-02-02 04:00:00+00:00,long,8565.04,9379.19,39,817.2563949561336
2020-02-02 12:00:00+00:00,2020-02-02 20:00:00+00:00,long,9457.85,9338.2,2,-120.73965011067594
2020-02-03 00:00:00+00:00,2020-02-03 16:00:00+00:00,long,9396.06,9331.11,4,5.630248179359114
2020-02-04 12:00:00+00:00,2020-02-04 16:00:00+00:00,long,9208.55,9187.0,1,-5.234965547248066
2020-02-06 16:00:00+00:00,2020-02-10 04:00:00+00:00,long,9755.26,9985.67,21,-100.48327804104338
2020-02-11 12:00:00+00:00,2020-02-15 12:00:00+00:00,long,10204.39,9982.18,24,-159.1655882550458
2020-02-18 20:00:00+00:00,2020-02-19 20:00:00+00:00,long,10174.32,9593.65,6,-263.2296152173785
2020-02-23 08:00:00+00:00,2020-02-24 00:00:00+00:00,long,9842.16,9759.23,4,-90.8608284191414
2020-04-02 00:00:00+00:00,2020-04-02 08:00:00+00:00,short,6602.23,6687.29,2,-10.739682789102517
2020-04-04 04:00:00+00:00,2020-04-10 00:00:00+00:00,long,6725.67,7172.94,35,168.5505786425183
2020-04-12 12:00:00+00:00,2020-04-13 00:00:00+00:00,long,7014.12,6671.0,3,-67.471973898957
2020-04-18 16:00:00+00:00,2020-04-20 00:00:00+00:00,short,7204.75,7155.83,8,7.553865295756623
2020-04-22 12:00:00+00:00,2020-04-29 16:00:00+00:00,long,7105.69,8727.77,43,1028.782237267449
2020-04-29 20:00:00+00:00,2020-04-30 08:00:00+00:00,long,8784.2,8845.18,3,185.6926962272737
2020-04-30 12:00:00+00:00,2020-05-04 04:00:00+00:00,long,8778.86,8653.3,22,-106.29665347131959
2020-05-04 12:00:00+00:00,2020-05-10 00:00:00+00:00,long,8848.0,8621.65,33,947.2375936356366
2020-05-13 20:00:00+00:00,2020-05-15 20:00:00+00:00,long,9305.91,9310.73,12,2.3573037392252445
2020-05-16 04:00:00+00:00,2020-05-16 08:00:00+00:00,long,9385.86,9410.0,1,7.600867514514903
2020-05-28 20:00:00+00:00,2020-06-02 12:00:00+00:00,long,9569.59,9467.9,28,406.15970339636624
2020-06-03 20:00:00+00:00,2020-06-04 04:00:00+00:00,long,9663.59,9644.81,2,-13.810722413689291
2020-06-11 16:00:00+00:00,2020-06-13 04:00:00+00:00,long,9280.99,9431.93,9,15.793322347881258
2020-06-23 12:00:00+00:00,2020-06-24 08:00:00+00:00,long,9695.89,9337.26,5,-819.671577736266
2020-07-22 04:00:00+00:00,2020-07-27 00:00:00+00:00,long,9301.44,10277.22,29,4685.839600915908
2020-07-27 04:00:00+00:00,2020-08-01 16:00:00+00:00,long,10168.0,11790.77,33,2248.9406013486696
2020-08-01 20:00:00+00:00,2020-08-02 04:00:00+00:00,long,11811.42,11327.7,2,-45.98107768388218
2020-08-05 12:00:00+00:00,2020-08-06 20:00:00+00:00,long,11672.0,11770.56,8,102.96011214447208
2020-08-08 12:00:00+00:00,2020-08-09 12:00:00+00:00,short,11745.26,11575.09,6,36.04995197767494
2020-08-15 00:00:00+00:00,2020-08-15 12:00:00+00:00,long,11900.97,11858.01,3,-146.6259169987825
2020-08-15 20:00:00+00:00,2020-08-16 00:00:00+00:00,long,11859.04,11942.2,1,224.3544466665262
2020-08-17 00:00:00+00:00,2020-08-17 12:00:00+00:00,short,11856.27,12443.99,3,-145.54885082984765
2020-08-21 12:00:00+00:00,2020-08-21 16:00:00+00:00,long,11725.67,11679.24,1,-13.568168811871146
2020-08-24 08:00:00+00:00,2020-08-24 12:00:00+00:00,long,11799.0,11768.0,1,-43.05107542561018
