entry_time,side,equity_before,exit_time,pnl,exit_reason,equity_at_trigger
2020-01-26 20:00:00+00:00,long,10000.0,2020-02-02 08:00:00+00:00,817.435028798287,signal,
2020-02-02 16:00:00+00:00,long,10817.435028798287,2020-02-03 00:00:00+00:00,-119.31849046566458,signal,
2020-02-03 04:00:00+00:00,long,10698.116538332622,2020-02-03 20:00:00+00:00,5.0783756717009965,signal,
2020-02-04 16:00:00+00:00,long,10703.194914004323,2020-02-04 20:00:00+00:00,-5.296346998593435,signal,
2020-02-06 20:00:00+00:00,long,10697.89856700573,2020-02-10 05:58:00+00:00,-216.88804300002994,stop_loss,10483.625183576138
2020-02-11 16:00:00+00:00,long,10481.0105240057,2020-02-15 15:53:00+00:00,-169.26172242517714,stop_loss,10312.359781444158
2020-02-19 00:00:00+00:00,long,10311.748801580523,2020-02-19 21:47:00+00:00,-201.5847775376369,stop_loss,10111.860263320626
2020-02-23 12:00:00+00:00,long,10110.164024042886,2020-02-24 04:00:00+00:00,-91.21205718768215,signal,
2020-04-02 04:00:00+00:00,short,10018.951966855204,2020-04-02 12:00:00+00:00,-10.882728386981398,signal,
2020-04-04 08:00:00+00:00,long,10008.069238468222,2020-04-10 04:00:00+00:00,166.1010007794448,signal,
2020-04-12 16:00:00+00:00,long,10174.170239247667,2020-04-13 00:30:00+00:00,-64.01263599849517,stop_loss,10110.603149013208
2020-04-18 20:00:00+00:00,short,10110.157603249172,2020-04-20 04:00:00+00:00,7.210730228194734,signal,
2020-04-22 16:00:00+00:00,long,10117.368333477367,2020-04-29 16:44:00+00:00,915.9427626689812,take_profit,11036.286051775794
2020-04-30 00:00:00+00:00,long,11033.311096146348,2020-04-30 09:52:00+00:00,-54.95652662632892,stop_loss,10986.538125343031
2020-04-30 16:00:00+00:00,long,10978.35456952002,2020-05-04 08:00:00+00:00,-104.01508743745944,signal,
2020-05-04 16:00:00+00:00,long,10874.33948208256,2020-05-10 00:15:00+00:00,1013.3332111226009,stop_loss,11888.114449197928
2020-05-14 00:00:00+00:00,long,11887.67269320516,2020-05-16 00:00:00+00:00,-2.596861900505246,signal,
2020-05-16 08:00:00+00:00,long,11885.075831304655,2020-05-16 12:00:00+00:00,6.3687223767410615,signal,
2020-05-29 00:00:00+00:00,long,11891.444553681396,2020-06-02 14:48:00+00:00,622.7087367145668,stop_loss,12517.129361576113
2020-06-04 00:00:00+00:00,long,12514.153290395963,2020-06-04 08:00:00+00:00,-16.12476749289999,signal,
2020-06-11 20:00:00+00:00,long,12498.028522903063,2020-06-13 08:00:00+00:00,15.165991526586367,signal,
2020-06-23 16:00:00+00:00,long,12513.19451442965,2020-06-24 10:38:00+00:00,-728.7552824588984,stop_loss,11787.73918307258
2020-07-22 08:00:00+00:00,long,11784.439231970751,2020-07-26 10:05:00+00:00,3618.086916903898,take_profit,15420.506272901071
2020-07-27 08:00:00+00:00,long,15402.52614887465,2020-08-01 06:16:00+00:00,1775.317439846067,take_profit,17180.51833328668
2020-08-02 00:00:00+00:00,long,17177.843588720716,2020-08-02 04:39:00+00:00,5.808740688135003,stop_loss,17187.241166294243
2020-08-05 16:00:00+00:00,long,17183.65232940885,2020-08-07 00:00:00+00:00,92.62618603948431,signal,
2020-08-08 16:00:00+00:00,short,17276.278515448335,2020-08-09 13:40:00+00:00,23.35126240081081,take_profit,17300.430010278596
2020-08-15 04:00:00+00:00,long,17299.629777849146,2020-08-15 16:00:00+00:00,-154.2858311485943,signal,
2020-08-16 00:00:00+00:00,long,17145.343946700552,2020-08-16 04:00:00+00:00,197.51711277070353,signal,
2020-08-17 04:00:00+00:00,short,17342.861059471255,2020-08-17 13:23:00+00:00,-70.28936748713022,stop_loss,17273.533402342142
2020-08-21 16:00:00+00:00,long,17272.571691984125,2020-08-21 20:00:00+00:00,-13.345547004551918,signal,
2020-08-24 12:00:00+00:00,long,17259.226144979573,2020-08-24 16:00:00+00:00,-48.06254991282549,signal,
