entry_time,side,equity_before,exit_time,pnl,exit_reason,equity_at_trigger
2020-01-26 20:00:00+00:00,long,10000.0,2020-02-02 08:00:00+00:00,787.4470045307025,signal,
2020-02-02 16:00:00+00:00,long,10787.447004530703,2020-02-03 00:00:00+00:00,-112.63376780291946,signal,
2020-02-03 04:00:00+00:00,long,10674.813236727783,2020-02-03 20:00:00+00:00,6.614927033999265,signal,
2020-02-06 20:01:00+00:00,long,10681.428163761782,2020-02-10 05:58:00+00:00,-249.0640283624598,stop_loss,10436.105925169451
2020-02-11 16:01:00+00:00,long,10432.364135399323,2020-02-15 15:53:00+00:00,-179.8848339236738,stop_loss,10253.356512676797
2020-02-19 00:00:00+00:00,long,10252.479301475649,2020-02-19 21:47:00+00:00,-181.61947316868282,stop_loss,10073.301831710025
2020-02-23 12:01:00+00:00,long,10070.859828306966,2020-02-24 04:00:00+00:00,-93.52805160361459,signal,
2020-04-04 08:00:00+00:00,long,9977.331776703351,2020-04-10 04:00:00+00:00,158.94057903761677,signal,
2020-04-12 16:00:00+00:00,long,10136.272355740968,2020-04-13 00:30:00+00:00,-61.84998036734396,stop_loss,10075.065124682638
2020-04-22 16:00:00+00:00,long,10074.422375373624,2020-04-29 16:44:00+00:00,878.4734853251557,take_profit,10957.136969939864
2020-04-30 00:00:00+00:00,long,10952.89586069878,2020-04-30 09:52:00+00:00,-48.18907281266911,stop_loss,10915.934076755297
2020-04-30 16:00:00+00:00,long,10904.70678788611,2020-05-04 08:00:00+00:00,-100.5958129094397,signal,
2020-05-04 16:01:00+00:00,long,10804.110974976671,2020-05-10 00:15:00+00:00,1000.4495877408244,stop_loss,11805.201611034683
2020-05-14 00:00:00+00:00,long,11804.560562717495,2020-05-16 00:00:00+00:00,-1.7379116176198295,signal,
2020-05-16 08:00:00+00:00,long,11802.822651099876,2020-05-16 12:00:00+00:00,7.141622626417302,signal,
2020-05-29 00:00:00+00:00,long,11809.964273726293,2020-06-02 14:48:00+00:00,612.2493309142028,stop_loss,12426.445833024083
2020-06-04 00:00:00+00:00,long,12422.213604640496,2020-06-04 08:00:00+00:00,-14.562294276032844,signal,
2020-06-11 20:00:00+00:00,long,12407.651310364463,2020-06-13 08:00:00+00:00,15.76548222292331,signal,
2020-06-23 16:00:00+00:00,long,12423.416792587386,2020-06-24 10:38:00+00:00,-714.6172440987375,stop_loss,11713.527081640104
2020-07-22 08:00:00+00:00,long,11708.799548488649,2020-07-26 10:05:00+00:00,3596.8507688487225,take_profit,15330.507315650326
