stop_atr,take_profit_atr,trailing_atr,downside_return_threshold,downside_vol_ratio,exit_cooldown_bars,drawdown_brake_enabled,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_max_drawdown,train_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_total_return,robust_score,train_trade_count,validation_trade_count,downside_trigger_count,fast_downside_exit_count,drawdown_profile
2.5,12.0,3.0,-0.06,1.3,0,True,0.15,0.075,0.3,0.8634953383028641,1.9390171023897587,-0.21726037804063714,5.472120709115271,1.4297483645339666,1.9009370507375671,-0.29873791039384034,4.908462271909451,1.9650059293778213,108.0,82.0,783,31,current
3.0,12.0,3.0,-0.06,1.3,0,True,0.15,0.075,0.3,0.8634953383028641,1.9390171023897587,-0.21726037804063714,5.472120709115271,1.4297483645339666,1.9009370507375671,-0.29873791039384034,4.908462271909451,1.9650059293778213,108.0,82.0,783,31,current
2.5,12.0,3.0,-0.06,1.1,0,True,0.15,0.075,0.3,0.8613896587340009,1.9359776455874618,-0.21669105311944992,5.450204068889999,1.4248145825362957,1.8972386274475281,-0.2983990954888667,4.884480587305143,1.9611710326346032,111.0,85.0,1275,55,current
3.0,12.0,3.0,-0.06,1.1,0,True,0.15,0.075,0.3,0.8613896587340009,1.9359776455874618,-0.21669105311944992,5.450204068889999,1.4248145825362957,1.8972386274475281,-0.2983990954888667,4.884480587305143,1.9611710326346032,111.0,85.0,1275,55,current
2.5,12.0,3.0,-0.06,1.2,0,True,0.15,0.075,0.3,0.8612835973458819,1.9356994039385482,-0.21768441833093854,5.449101456170591,1.4229619401603566,1.8958222632985042,-0.2983990954888667,4.875488029785093,1.9592367736022112,111.0,84.0,1000,45,current
3.0,12.0,3.0,-0.06,1.2,0,True,0.15,0.075,0.3,0.8612835973458819,1.9356994039385482,-0.21768441833093854,5.449101456170591,1.4229619401603566,1.8958222632985042,-0.2983990954888667,4.875488029785093,1.9592367736022112,111.0,84.0,1000,45,current
2.5,12.0,2.5,-0.06,1.3,0,True,0.15,0.075,0.3,0.8588936700008929,1.9319114193589022,-0.21916639308021135,5.42428911103783,1.4093974245121288,1.8854458207674076,-0.31372308755876366,4.809856686609973,1.9476413582274805,111.0,86.0,783,31,current
3.5,12.0,2.5,-0.06,1.3,0,True,0.15,0.075,0.3,0.8588936700008929,1.9319114193589022,-0.21916639308021135,5.42428911103783,1.4093974245121288,1.8854458207674076,-0.31372308755876366,4.809856686609973,1.9476413582274805,111.0,86.0,783,31,current
3.0,12.0,2.5,-0.06,1.3,0,True,0.15,0.075,0.3,0.8588936700008929,1.9319114193589022,-0.21916639308021135,5.42428911103783,1.4093974245121288,1.8854458207674076,-0.31372308755876366,4.809856686609973,1.9476413582274805,111.0,86.0,783,31,current
3.0,12.0,2.5,-0.06,1.1,0,True,0.15,0.075,0.3,0.856793190143951,1.9288713633913694,-0.2185984544972528,5.402534443676413,1.4045049665885774,1.8817467690419236,-0.3133915127448368,4.78627522933013,1.9438061798220876,114.0,89.0,1275,55,current
3.5,12.0,2.5,-0.06,1.1,0,True,0.15,0.075,0.3,0.856793190143951,1.9288713633913694,-0.2185984544972528,5.402534443676413,1.4045049665885774,1.8817467690419236,-0.3133915127448368,4.78627522933013,1.9438061798220876,114.0,89.0,1275,55,current
2.5,12.0,2.5,-0.06,1.1,0,True,0.15,0.075,0.3,0.856793190143951,1.9288713633913694,-0.2185984544972528,5.402534443676413,1.4045049665885774,1.8817467690419236,-0.3133915127448368,4.78627522933013,1.9438061798220876,114.0,89.0,1275,55,current
2.5,12.0,2.5,-0.06,1.2,0,True,0.15,0.075,0.3,0.8566873906611441,1.9285936670264543,-0.21958940080853595,5.401439979712383,1.4026678414630767,1.8803304570134534,-0.3133915127448368,4.777432747473899,1.9418732347414145,114.0,88.0,1000,45,current
3.5,12.0,2.5,-0.06,1.2,0,True,0.15,0.075,0.3,0.8566873906611441,1.9285936670264543,-0.21958940080853595,5.401439979712383,1.4026678414630767,1.8803304570134534,-0.3133915127448368,4.777432747473899,1.9418732347414145,114.0,88.0,1000,45,current
3.0,12.0,2.5,-0.06,1.2,0,True,0.15,0.075,0.3,0.8566873906611441,1.9285936670264543,-0.21958940080853595,5.401439979712383,1.4026678414630767,1.8803304570134534,-0.3133915127448368,4.777432747473899,1.9418732347414145,114.0,88.0,1000,45,current
2.5,12.0,2.5,-0.05,1.3,0,True,0.15,0.075,0.3,0.8358320104352752,1.8992211828251964,-0.2207859134271385,5.188124019683091,1.3951133506103761,1.8746489848575676,-0.31372308755876366,4.741142446631402,1.9314224302310534,115.0,87.0,920,51,current
3.5,12.0,2.5,-0.05,1.3,0,True,0.15,0.075,0.3,0.8358320104352752,1.8992211828251964,-0.2207859134271385,5.188124019683091,1.3951133506103761,1.8746489848575676,-0.31372308755876366,4.741142446631402,1.9314224302310534,115.0,87.0,920,51,current
3.0,12.0,2.5,-0.05,1.3,0,True,0.15,0.075,0.3,0.8358320104352752,1.8992211828251964,-0.2207859134271385,5.188124019683091,1.3951133506103761,1.8746489848575676,-0.31372308755876366,4.741142446631402,1.9314224302310534,115.0,87.0,920,51,current
3.5,12.0,2.5,-0.05,1.1,0,True,0.15,0.075,0.3,0.8311960846232729,1.8921484319227664,-0.22045223981292394,5.141359169886629,1.3902498975449848,1.870949075026049,-0.3133915127448368,4.717839891569303,1.9269621720442416,118.0,90.0,1385,70,current
2.5,12.0,2.5,-0.05,1.1,0,True,0.15,0.075,0.3,0.8311960846232729,1.8921484319227664,-0.22045223981292394,5.141359169886629,1.3902498975449848,1.870949075026049,-0.3133915127448368,4.717839891569303,1.9269621720442416,118.0,90.0,1385,70,current
3.0,12.0,2.5,-0.05,1.1,0,True,0.15,0.075,0.3,0.8311960846232729,1.8921484319227664,-0.22045223981292394,5.141359169886629,1.3902498975449848,1.870949075026049,-0.3133915127448368,4.717839891569303,1.9269621720442416,118.0,90.0,1385,70,current
2.5,12.0,2.5,-0.05,1.2,0,True,0.15,0.075,0.3,0.833457427165025,1.8955924510468802,-0.22144083521802815,5.164140891580265,1.3884236637862606,1.869532634387849,-0.3133915127448368,4.709101991366814,1.9255037022118398,118.0,89.0,1123,62,current
3.0,12.0,2.5,-0.05,1.2,0,True,0.15,0.075,0.3,0.833457427165025,1.8955924510468802,-0.22144083521802815,5.164140891580265,1.3884236637862606,1.869532634387849,-0.3133915127448368,4.709101991366814,1.9255037022118398,118.0,89.0,1123,62,current
