entry_time,side,equity_before,exit_time,pnl,exit_reason,equity_at_trigger
2020-01-26 20:00:00+00:00,long,10000.0,2020-02-02 08:00:00+00:00,867.5386479348726,signal,
2020-02-02 16:00:00+00:00,long,10867.538647934873,2020-02-03 00:00:00+00:00,-111.76790713644004,signal,
2020-02-03 04:00:00+00:00,long,10755.770740798433,2020-02-03 20:00:00+00:00,7.126078827322999,signal,
2020-02-06 20:00:00+00:00,long,10762.896819625756,2020-02-10 05:58:00+00:00,-196.67706836026082,stop_loss,10569.10080046445
2020-02-11 16:00:00+00:00,long,10566.219751265495,2020-02-15 15:53:00+00:00,-167.024740107021,stop_loss,10399.873059826454
2020-02-19 00:00:00+00:00,long,10399.195011158474,2020-02-19 21:47:00+00:00,-182.64297916658688,stop_loss,10218.43384586284
2020-02-23 12:00:00+00:00,long,10216.552031991887,2020-02-24 04:00:00+00:00,-88.9223994551503,signal,
2020-04-04 08:00:00+00:00,long,10127.629632536737,2020-04-10 04:00:00+00:00,170.13016304059238,signal,
2020-04-12 16:00:00+00:00,long,10297.759795577329,2020-04-13 00:30:00+00:00,-62.719903276150944,stop_loss,10235.536017557726
2020-04-22 16:00:00+00:00,long,10235.039892301178,2020-04-29 16:44:00+00:00,928.5026885522038,take_profit,11166.828018859174
2020-04-30 00:00:00+00:00,long,11163.542580853382,2020-04-30 09:52:00+00:00,-47.24432724990038,stop_loss,11124.994115244648
2020-04-30 16:00:00+00:00,long,11116.298253603481,2020-05-04 08:00:00+00:00,-101.52093177551615,signal,
2020-05-04 16:00:00+00:00,long,11014.777321827965,2020-05-10 00:15:00+00:00,1037.6007205597598,stop_loss,12052.87591079479
2020-05-14 00:00:00+00:00,long,12052.378042387725,2020-05-16 00:00:00+00:00,-1.4942639635701198,signal,
2020-05-16 08:00:00+00:00,long,12050.883778424155,2020-05-16 12:00:00+00:00,7.564818215874766,signal,
2020-05-29 00:00:00+00:00,long,12058.44859664003,2020-06-02 14:48:00+00:00,645.7547779560755,stop_loss,12707.49013418955
2020-06-04 00:00:00+00:00,long,12704.203374596105,2020-06-04 08:00:00+00:00,-14.46866548795515,signal,
2020-06-11 20:00:00+00:00,long,12689.73470910815,2020-06-13 08:00:00+00:00,16.39830520544274,signal,
2020-06-23 16:00:00+00:00,long,12706.133014313593,2020-06-24 10:38:00+00:00,-728.3236020452168,stop_loss,11981.484833013195
2020-07-22 08:00:00+00:00,long,11977.809412268376,2020-07-26 10:05:00+00:00,3708.987918387498,take_profit,15706.153624574428
2020-07-26 12:00:00+00:00,long,15686.797330655874,2020-07-27 00:52:00+00:00,-138.22980154442303,take_profit,15569.009756842366
2020-07-27 08:00:00+00:00,long,15548.567529111451,2020-08-01 06:16:00+00:00,1809.8533409662323,take_profit,17361.23614816255
2020-08-01 08:00:00+00:00,long,17358.420870077684,2020-08-01 08:01:00+00:00,46.852848156762775,take_profit,17418.7239979175
