entry_time,side,equity_before,exit_time,pnl,exit_reason
2020-01-23 16:00:00+00:00,short,10000.0,2020-01-24 20:00:00+00:00,-53.34429394776453,signal
2020-01-27 16:00:00+00:00,long,9946.655706052235,2020-01-31 20:00:00+00:00,716.4881188570434,signal
2020-02-01 08:00:00+00:00,long,10663.143824909279,2020-02-04 12:00:00+00:00,-196.522013360016,signal
2020-02-06 00:00:00+00:00,long,10466.621811549263,2020-02-10 12:00:00+00:00,-25.11111991071448,signal
2020-02-12 00:00:00+00:00,long,10441.510691638548,2020-02-15 16:00:00+00:00,-234.8063995440043,signal
2020-02-26 04:00:00+00:00,short,10206.704292094544,2020-03-02 20:00:00+00:00,105.039042094244,signal
2020-03-08 20:00:00+00:00,short,10311.743334188788,2020-03-17 20:00:00+00:00,350.2581508806343,signal
2020-03-18 08:00:00+00:00,short,10662.001485069422,2020-03-19 16:00:00+00:00,-27.911234599669115,signal
2020-03-29 04:00:00+00:00,short,10634.090250469753,2020-03-30 12:00:00+00:00,-45.15234477060767,signal
2020-04-04 12:00:00+00:00,long,10588.937905699146,2020-04-05 08:00:00+00:00,6.714467620215146,signal
2020-04-05 20:00:00+00:00,long,10595.65237331936,2020-04-09 04:00:00+00:00,51.888903717090216,signal
2020-04-09 16:00:00+00:00,long,10647.541277036451,2020-04-10 08:00:00+00:00,-43.49862924497029,signal
2020-04-23 20:00:00+00:00,long,10604.04264779148,2020-04-30 12:00:00+00:00,3968.311499282914,signal
2020-05-01 00:00:00+00:00,long,14572.354147074395,2020-05-04 08:00:00+00:00,277.39276281264756,signal
2020-05-04 20:00:00+00:00,long,14849.746909887042,2020-05-10 00:00:00+00:00,1636.586075026713,signal
2020-05-14 12:00:00+00:00,long,16486.332984913755,2020-05-20 16:00:00+00:00,-741.2164026527262,signal
2020-05-26 16:00:00+00:00,short,15745.11658226103,2020-05-27 12:00:00+00:00,-201.06357126338298,signal
2020-05-29 08:00:00+00:00,long,15544.053010997646,2020-06-01 20:01:00+00:00,-165.68298605420387,signal
2020-06-02 08:00:00+00:00,long,15378.370024943442,2020-06-02 16:00:00+00:00,-1047.0758082247703,signal
2020-06-15 12:00:00+00:00,short,14331.294216718672,2020-06-15 20:00:00+00:00,-154.84974939963467,signal
2020-06-20 00:00:00+00:00,short,14176.444467319037,2020-06-20 04:00:00+00:00,-4.0276176132611,signal
2020-06-24 00:00:00+00:00,long,14172.416849705776,2020-06-24 12:00:00+00:00,-822.3036946807679,signal
2020-06-26 04:00:00+00:00,short,13350.113155025008,2020-06-27 12:00:00+00:00,42.99796126771798,signal
2020-06-28 00:00:00+00:00,short,13393.111116292726,2020-07-01 04:00:00+00:00,-71.11807406961088,signal
2020-07-04 16:00:00+00:00,short,13321.993042223115,2020-07-06 08:00:00+00:00,-88.74315954146368,signal
2020-07-22 08:00:00+00:00,long,13233.249882681652,2020-08-02 08:00:00+00:00,10011.794237711456,signal
2020-09-04 04:00:00+00:00,short,23245.044120393108,2020-09-09 20:00:00+00:00,-0.2651288780325558,signal
2020-09-10 08:00:00+00:00,short,23244.778991515075,2020-09-11 20:00:00+00:00,-8.163346877019649,signal
2020-09-22 12:00:00+00:00,short,23236.615644638056,2020-09-24 16:00:00+00:00,-19.582165624276968,signal
2020-10-09 20:00:00+00:00,long,23217.03347901378,2020-10-14 04:00:00+00:00,2671.802348307632,signal
2020-10-14 16:00:00+00:00,long,25888.83582732141,2020-10-17 16:00:00+00:00,-163.61413517200708,signal
2020-10-19 20:00:00+00:00,long,25725.221692149404,2020-10-28 12:00:00+00:00,9658.277227226412,signal
