strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity,fill_count,liquidation_count,fees_paid,funding_paid,realized_pnl,order_notional,max_leverage_observed,max_margin_ratio,minimum_margin_buffer,max_minute_participation_observed,maker_enabled,maker_order_count,maker_cancel_count,maker_fill_count,taker_fill_count,maker_filled_notional,taker_filled_notional,maker_fill_ratio,maker_fill_events_per_order,maker_fee_saved_vs_taker,entries_per_month,max_days_between_entries,median_days_between_entries,months_with_no_entry,train_2020_2022_total_return,train_2020_2022_max_drawdown,train_2020_2022_sharpe,train_2020_2022_trade_count,validation_2023_2024_total_return,validation_2023_2024_max_drawdown,validation_2023_2024_sharpe,validation_2023_2024_trade_count,holdout_2025_2026_07_total_return,holdout_2025_2026_07_max_drawdown,holdout_2025_2026_07_sharpe,holdout_2025_2026_07_trade_count
V8_base,0.02761789051614305,0.00414778401172744,0.005674813469518982,0.7317381088412691,1.092508886525618,-0.007754132056365215,88.0,0.5681818181818182,10276.17890516143,191.0,0.0,25.426429614907192,-4.077235413768497,297.52809936257574,201895.16951180546,0.29975420459765983,0.0011990322762754108,9940.11376920633,0.005169377666628111,1.0,97.0,0.0,97.0,94.0,101001.80292950051,100893.36658230497,0.5002685461654625,1.0,23.028411067926115,1.1141846921797007,131.5,16.66875,29,0.007690515433718792,-0.005627963622794718,0.4817878232081712,41.0,0.010571720995502965,-0.004821925984077491,1.2476620302454733,19.0,0.009107292140234424,-0.007143118659231118,0.7580803711890179,28.0
V8_single_same_initial,0.02355897140809371,0.0035441680987213786,0.005378789461792767,0.6599904195687452,0.96466415200742,-0.008100981563404996,88.0,0.5681818181818182,10235.589714080937,176.0,0.0,23.04227335060396,-3.280965249132592,255.3510221824182,182952.94888906882,0.2292103405533309,0.0009171937492562416,9938.208659946682,0.005169377666628111,1.0,88.0,0.0,88.0,88.0,91519.44904724801,91433.49984182081,0.5002348942882558,1.0,20.866434382772546,1.1141846921797007,131.5,16.66875,29,0.005169509462079169,-0.005818345397895053,0.33480840290132347,41.0,0.010536176319937196,-0.004785538855480054,1.2468155291700251,19.0,0.007677815223001261,-0.0057468400654796525,0.7061164590080388,28.0
V8_single_same_budget,0.07553354254616362,0.011124801944302654,0.016463874703713372,0.6797538577556422,0.9988563355038778,-0.02448364231361,88.0,0.5681818181818182,10755.335425461637,176.0,0.0,71.94460149317516,-10.111444047152485,817.1685829076657,571231.9055637103,0.696798672217817,0.0027886736632507458,9814.62195706418,0.01538431557074354,1.0,88.0,0.0,88.0,88.0,285750.24492155854,285481.6606421518,0.5002350921550345,1.0,65.15105584211534,1.1141846921797007,131.5,16.66875,29,0.016830392573345954,-0.017452097789124155,0.36020640404551224,41.0,0.0327333377237462,-0.014507820699808605,1.2600874464810803,19.0,0.02420583070678939,-0.01753271315999283,0.7252549534867746,28.0
V8_leverage_1_5,0.04187752921702548,0.006252478483955937,0.008586851793375245,0.7296761640367485,1.088072980802393,-0.011659820157523537,88.0,0.5681818181818182,10418.775292170254,191.0,0.0,38.659558482806894,-6.190378204722711,451.2444724483392,306974.3157653276,0.4504835172684542,0.001801959993902999,9910.331065067945,0.007738589321299567,1.0,97.0,0.0,97.0,94.0,153571.39167049003,153402.92409483757,0.5002744001159062,1.0,35.014277300871726,1.1141846921797007,131.5,16.66875,29,0.011966080059791162,-0.008431415872985348,0.4969365919348289,41.0,0.015964325058249296,-0.0072564870022047145,1.2487702176391278,19.0,0.013379833580083655,-0.01088660133962116,0.7334740919364398,28.0
V8_maker_fee_1_2bps,0.0263122063412613,0.003953832135259683,0.0056658021805248895,0.6988222874352593,1.0386008018730333,-0.007945462398845082,88.0,0.5568181818181818,10263.122063412613,191.0,0.0,36.31249521779053,-4.074838088103497,295.35972054231235,201771.50719940575,0.2997814339849517,0.0011991411955526287,9938.758489849395,0.005169377666628111,1.0,97.0,0.0,97.0,94.0,100938.88758389051,100832.61961551523,0.5002633374004345,1.0,12.11266651006686,1.1141846921797007,131.5,16.66875,29,0.007279011193447094,-0.005697733809122418,0.45620980920586723,41.0,0.0102217399621507,-0.004900225825868687,1.2119605634928126,19.0,0.00858614813896108,-0.007194644615126755,0.7165479901978167,28.0
V8_taker_only,0.025037785109325306,0.0037643222816217126,0.005658910257989007,0.6663292794189384,0.985949897746019,-0.007993249669566271,88.0,0.5568181818181818,10250.377851093253,191.0,0.0,48.424391174444196,-4.074838088103497,294.7274041795949,201768.29656018433,0.29982276538323427,0.0011993065237688736,9936.087649633428,0.005169377666628111,0.0,0.0,0.0,0.0,191.0,0.0,201768.29656018433,0.0,0.0,0.0,1.1141846921797007,131.5,16.666666666666668,29,0.00679733109111802,-0.005889433902249497,0.4269332841746852,41.0,0.009942623897925884,-0.005110710652727168,1.1824772352291548,19.0,0.008094203183749649,-0.007294035705881274,0.6760759540867535,28.0
V4_1_2,50.015428281035966,0.817432947748604,0.40117713865462723,1.6838867171133551,3.0880282437741635,-0.23653007414008476,233.0,0.34334763948497854,510154.28281035967,1679.0,0.0,23731.29544018808,39101.990162394024,562987.5684129418,187834244.89991295,6.549763781809846,0.07882721301105647,9953.65679216628,0.019999999416439474,1.0,499.0,9.0,854.0,825.0,93635628.66575,94198616.23416294,0.49850137133217387,1.7114228456913827,21348.923335790998,2.9500571963394346,84.5,5.833333333333333,8,4.991350540506579,-0.19655245216658923,1.9237071451311756,108.0,4.756563819527485,-0.23653007414008476,1.9590831296670417,80.0,0.47915430975459783,-0.2202473635196288,0.8825656806908043,45.0
V4_1_2_plus_V8,50.87143188710245,0.822033595285306,0.4011645843974381,1.6902305233832926,3.099965824323333,-0.23993994817751763,315.0,0.38412698412698415,518714.31887102453,1842.0,0.0,24434.644224821415,39222.38436015855,572371.3474560039,193311188.72050607,6.549809895728126,0.07899214594919914,9953.65679216628,0.019999999416439474,1.0,582.0,8.0,941.0,901.0,96315969.59693,96995219.12357607,0.4982431189546195,1.6168384879725086,21960.04106810004,3.988274750415974,46.0,5.166666666666667,2,4.985095523058191,-0.19957490026142455,1.922491180988395,145.0,4.817918560477919,-0.23993994817751763,1.969782050437823,99.0,0.4896680827291766,-0.21720369472563494,0.8953047170272266,71.0
V4_1_2_plus_V8_1_5,51.36423881232328,0.8246530917156962,0.4011918746123642,1.6937224051588953,3.1066209933548845,-0.24161182118199287,315.0,0.38412698412698415,523642.3881232328,1849.0,0.0,24780.270969108216,39289.44506060567,577712.1041529451,196148913.39469337,6.549984804908821,0.07915152713316052,9953.65679216628,0.019999999416439474,1.0,579.0,7.0,936.0,913.0,97787141.42815,98361771.96654339,0.498535218654928,1.616580310880829,22295.468245618198,3.988274750415974,46.0,5.0,2,4.983454117112103,-0.20104946569354987,1.9220495229591323,145.0,4.848093457758126,-0.24161182118199287,1.9749157952676875,100.0,0.4964717588904408,-0.2157355502005761,0.9033941365433639,70.0
V4_1_2_plus_V8_single,52.06108287815151,0.828321682616189,0.4014119766041747,1.698016785859744,3.1141982172579463,-0.2466959129843418,315.0,0.38412698412698415,530610.8287815151,1865.0,0.0,25561.73144574106,39248.47079449185,585421.0310217469,202041280.83491245,6.549764199258226,0.0792871539160177,9953.65679216628,0.019999999416439474,1.0,570.0,8.0,958.0,907.0,100562175.23964001,101479105.59527244,0.4977308341348775,1.6807017543859648,22928.17595463792,3.988274750415974,46.0,5.083333333333334,2,4.93796406530748,-0.2076875211805851,1.9135159266615114,145.0,4.947415810284759,-0.2466959129843418,1.9909664590099512,99.0,0.502485331681054,-0.21427711492875057,0.9100839692859579,71.0
