year,total_return,variant
2020,0.2207445997884956,baseline
2021,-0.018206511991640695,baseline
2022,-0.028506098466377194,baseline
2023,0.018116658921058404,baseline
2024,-0.015819996504736422,baseline
2025,0.0272169408601155,baseline
2026,0.008272324442132328,baseline
2020,0.5977078428217997,no_governor
2021,-0.007362303137448456,no_governor
2022,0.05800450701170945,no_governor
2023,1.504713105316069,no_governor
2024,0.1859954568429092,no_governor
2025,0.1651554387740175,no_governor
2026,0.13295480967995799,no_governor
2020,0.2853331908533565,no_price_drawdown
2021,-0.021676713199743847,no_price_drawdown
2022,-0.028496499389574215,no_price_drawdown
2023,0.009587040023660398,no_price_drawdown
2024,-0.021108615419435206,no_price_drawdown
2025,0.02924802740489918,no_price_drawdown
2026,0.017915507855915225,no_price_drawdown
2020,0.6706528119749258,no_governor_no_price_drawdown
2021,-0.00720650742827289,no_governor_no_price_drawdown
2022,0.05860076032838912,no_governor_no_price_drawdown
2023,1.6787511409366318,no_governor_no_price_drawdown
2024,0.18474935312286478,no_governor_no_price_drawdown
2025,0.050719323709143005,no_governor_no_price_drawdown
2026,0.13305436233408274,no_governor_no_price_drawdown
