year,column,label,count,share
2020,v71_live_reason,,2086,0.9499089253187614
2020,v71_live_reason,new_entry,71,0.03233151183970856
2020,v71_live_reason,protective_exit,26,0.011839708561020037
2020,v71_live_reason,fast_downside_stop,13,0.005919854280510018
2021,v71_live_reason,,2078,0.9488584474885845
2021,v71_live_reason,new_entry,64,0.029223744292237442
2021,v71_live_reason,protective_exit,25,0.01141552511415525
2021,v71_live_reason,fast_downside_stop,23,0.010502283105022832
2022,v71_live_reason,,2083,0.9511415525114155
2022,v71_live_reason,new_entry,68,0.031050228310502283
2022,v71_live_reason,protective_exit,29,0.013242009132420091
2022,v71_live_reason,fast_downside_stop,10,0.0045662100456621
2023,v71_live_reason,,2093,0.9557077625570777
2023,v71_live_reason,new_entry,63,0.028767123287671233
2023,v71_live_reason,protective_exit,29,0.013242009132420091
2023,v71_live_reason,fast_downside_stop,5,0.00228310502283105
2024,v71_live_reason,,2076,0.9453551912568307
2024,v71_live_reason,new_entry,77,0.03506375227686703
2024,v71_live_reason,protective_exit,28,0.012750455373406194
2024,v71_live_reason,fast_downside_stop,15,0.006830601092896175
2025,v71_live_reason,,2087,0.9529680365296803
2025,v71_live_reason,new_entry,65,0.02968036529680365
2025,v71_live_reason,protective_exit,33,0.015068493150684932
2025,v71_live_reason,fast_downside_stop,5,0.00228310502283105
2026,v71_live_reason,,1214,0.9544025157232704
2026,v71_live_reason,new_entry,36,0.02830188679245283
2026,v71_live_reason,protective_exit,20,0.015723270440251572
2026,v71_live_reason,fast_downside_stop,2,0.0015723270440251573
