year,column,label,count,share
2020,regime,range_flat,1139,0.5186703096539163
2020,regime,trend_long,638,0.290528233151184
2020,regime,trend_short,212,0.0965391621129326
2020,regime,warmup,119,0.05418943533697632
2020,regime,trend_short_wait,45,0.020491803278688523
2021,regime,range_flat,1285,0.58675799086758
2021,regime,trend_long,459,0.2095890410958904
2021,regime,trend_short,308,0.14063926940639268
2021,regime,trend_short_wait,91,0.041552511415525115
2021,regime,trend_stop,28,0.012785388127853882
2022,regime,range_flat,1225,0.5593607305936074
2022,regime,trend_short,618,0.2821917808219178
2022,regime,trend_long,238,0.108675799086758
2022,regime,trend_short_wait,52,0.023744292237442923
2022,regime,trend_stop,35,0.01598173515981735
2023,regime,range_flat,1238,0.5652968036529681
2023,regime,trend_long,630,0.2876712328767123
2023,regime,trend_short,203,0.09269406392694064
2023,regime,trend_short_wait,81,0.036986301369863014
2023,regime,trend_stop,25,0.01141552511415525
2024,regime,range_flat,1184,0.5391621129326047
2024,regime,trend_long,616,0.28051001821493626
2024,regime,trend_short,254,0.11566484517304189
2024,regime,trend_short_wait,88,0.04007285974499089
2024,regime,trend_stop,38,0.017304189435336976
2025,regime,range_flat,1364,0.6228310502283105
2025,regime,trend_short,365,0.16666666666666666
2025,regime,trend_long,356,0.16255707762557078
2025,regime,trend_short_wait,53,0.024200913242009132
2025,regime,trend_stop,34,0.015525114155251141
2026,regime,range_flat,768,0.6037735849056604
2026,regime,trend_short,270,0.21226415094339623
2026,regime,trend_long,162,0.12735849056603774
2026,regime,trend_short_wait,40,0.031446540880503145
2026,regime,trend_stop,22,0.01729559748427673
