year,column,label,count,share
2020,v71_market_state,range,1182,0.5382513661202186
2020,v71_market_state,trend_up,638,0.290528233151184
2020,v71_market_state,trend_down,257,0.11703096539162113
2020,v71_market_state,warmup,119,0.05418943533697632
2021,v71_market_state,range,1332,0.6082191780821918
2021,v71_market_state,trend_up,459,0.2095890410958904
2021,v71_market_state,trend_down,399,0.1821917808219178
2022,v71_market_state,range,1282,0.5853881278538813
2022,v71_market_state,trend_down,670,0.3059360730593607
2022,v71_market_state,trend_up,238,0.108675799086758
2023,v71_market_state,range,1276,0.582648401826484
2023,v71_market_state,trend_up,630,0.2876712328767123
2023,v71_market_state,trend_down,284,0.12968036529680366
2024,v71_market_state,range,1238,0.563752276867031
2024,v71_market_state,trend_up,616,0.28051001821493626
2024,v71_market_state,trend_down,342,0.1557377049180328
2025,v71_market_state,range,1416,0.6465753424657534
2025,v71_market_state,trend_down,418,0.1908675799086758
2025,v71_market_state,trend_up,356,0.16255707762557078
2026,v71_market_state,range,800,0.6289308176100629
2026,v71_market_state,trend_down,310,0.24371069182389937
2026,v71_market_state,trend_up,162,0.12735849056603774
