year,column,label,count,share
2020,v71_speed_reason,range_wait,1139,0.5186703096539163
2020,v71_speed_reason,none,952,0.4335154826958106
2020,v71_speed_reason,short_daily_bias,45,0.020491803278688523
2020,v71_speed_reason,trend_trailing_stop,27,0.012295081967213115
2020,v71_speed_reason,trend_probe,16,0.007285974499089253
2021,v71_speed_reason,range_wait,1285,0.58675799086758
2021,v71_speed_reason,none,730,0.3333333333333333
2021,v71_speed_reason,short_daily_bias,91,0.041552511415525115
2021,v71_speed_reason,rapid,32,0.014611872146118721
2021,v71_speed_reason,trend_trailing_stop,28,0.012785388127853882
2022,v71_speed_reason,range_wait,1225,0.5593607305936074
2022,v71_speed_reason,none,843,0.38493150684931504
2022,v71_speed_reason,short_daily_bias,52,0.023744292237442923
2022,v71_speed_reason,trend_trailing_stop,35,0.01598173515981735
2022,v71_speed_reason,trend_probe,17,0.007762557077625571
2023,v71_speed_reason,range_wait,1238,0.5652968036529681
2023,v71_speed_reason,none,825,0.3767123287671233
2023,v71_speed_reason,short_daily_bias,81,0.036986301369863014
2023,v71_speed_reason,trend_trailing_stop,25,0.01141552511415525
2023,v71_speed_reason,trend_probe,13,0.005936073059360731
2024,v71_speed_reason,range_wait,1184,0.5391621129326047
2024,v71_speed_reason,none,869,0.3957194899817851
2024,v71_speed_reason,short_daily_bias,88,0.04007285974499089
2024,v71_speed_reason,trend_trailing_stop,38,0.017304189435336976
2024,v71_speed_reason,trend_probe,16,0.007285974499089253
2025,v71_speed_reason,range_wait,1364,0.6228310502283105
2025,v71_speed_reason,none,720,0.3287671232876712
2025,v71_speed_reason,short_daily_bias,53,0.024200913242009132
2025,v71_speed_reason,trend_trailing_stop,34,0.015525114155251141
2025,v71_speed_reason,trend_probe,18,0.00821917808219178
2026,v71_speed_reason,range_wait,768,0.6037735849056604
2026,v71_speed_reason,none,431,0.3388364779874214
2026,v71_speed_reason,short_daily_bias,40,0.031446540880503145
2026,v71_speed_reason,trend_trailing_stop,22,0.01729559748427673
2026,v71_speed_reason,trend_probe,10,0.007861635220125786
