entry_year,side,trade_count,win_rate,total_pnl,avg_pnl
2020,long,59,0.4915254237288136,2663.633308494731,45.146327262622556
2020,short,20,0.25,-179.74913889940217,-8.98745694497011
2021,long,15,0.26666666666666666,-465.556652984038,-31.037110198935867
2021,short,15,0.4666666666666667,-33.05212859665335,-2.20347523977689
2022,long,15,0.3333333333333333,-653.046368178917,-43.536424545261134
2022,short,30,0.43333333333333335,1109.2966305120954,36.97655435040318
2023,long,21,0.5714285714285714,41.81495492083015,1.9911883295633404
2023,short,10,0.3,-57.59644585615206,-5.759644585615206
2024,long,29,0.41379310344827586,-364.35790288609314,-12.564065616761832
2024,short,13,0.46153846153846156,124.9602429998504,9.612326384603877
2025,long,29,0.3793103448275862,-30.577866650932265,-1.0544091948597332
2025,short,20,0.5,17.84281744170039,0.8921408720850195
2026,long,10,0.4,104.6406057011427,10.46406057011427
2026,short,15,0.4666666666666667,31.439799901734666,2.0959866601156443
