entry_year,side,trade_count,win_rate,total_pnl,avg_pnl
2020,long,62,0.46774193548387094,2572.1695653454462,41.486605892668486
2020,short,21,0.2857142857142857,-152.3969822819763,-7.256999156284586
2021,long,13,0.46153846153846156,-334.1141989911248,-25.701092230086523
2021,short,14,0.42857142857142855,36.894994210231744,2.6353567293022673
2022,long,8,0.25,-148.16602206414973,-18.520752758018716
2022,short,29,0.3103448275862069,-172.0380552711722,-5.932346733488696
2023,long,21,0.42857142857142855,289.699692681088,13.79522346100419
2023,short,9,0.2222222222222222,-65.5405691168362,-7.282285457426244
2024,long,28,0.39285714285714285,-50.916798064929026,-1.8184570737474652
2024,short,8,0.25,5.8211381313831225,0.7276422664228903
2025,long,23,0.4782608695652174,288.44450678038265,12.541065512190551
2025,short,24,0.4583333333333333,-10.600667270438862,-0.44169446960161923
2026,long,7,0.5714285714285714,-48.117936657954495,-6.873990951136356
2026,short,14,0.5714285714285714,89.5412690146004,6.3958049296143145
