year,state,bar_count,share
2020,range,1207,0.5496357012750456
2020,trend_down,236,0.10746812386156648
2020,trend_up,634,0.2887067395264117
2020,warmup,119,0.05418943533697632
2021,range,1347,0.6150684931506849
2021,trend_down,384,0.17534246575342466
2021,trend_up,459,0.2095890410958904
2022,range,1304,0.5954337899543379
2022,trend_down,648,0.2958904109589041
2022,trend_up,238,0.108675799086758
2023,range,1288,0.5881278538812785
2023,trend_down,278,0.12694063926940638
2023,trend_up,624,0.28493150684931506
2024,range,1266,0.5765027322404371
2024,trend_down,327,0.1489071038251366
2024,trend_up,603,0.27459016393442626
2025,range,1421,0.6488584474885845
2025,trend_down,415,0.18949771689497716
2025,trend_up,354,0.16164383561643836
2026,range,793,0.6234276729559748
2026,trend_down,323,0.2539308176100629
2026,trend_up,156,0.12264150943396226
